method,n,z_effect_scale,zx_influence_scale,n_strata,nonlinear,ARI_mean,ARI_sd,ARI_se,ARI_ci95,C1_heterogeneity_mean,C1_heterogeneity_sd,C1_heterogeneity_se,C1_heterogeneity_ci95,W_true_mean,W_true_sd,W_true_se,W_true_ci95,W_est_mean,W_est_sd,W_est_se,W_est_ci95,bias_crude_mean,bias_crude_sd,bias_crude_se,bias_crude_ci95,bias_stratified_mean,bias_stratified_sd,bias_stratified_se,bias_stratified_ci95,bias_re_mean,bias_re_sd,bias_re_se,bias_re_ci95,bias_reduction_mean,bias_reduction_sd,bias_reduction_se,bias_reduction_ci95,bias_reduction_relative_mean,bias_reduction_relative_sd,bias_reduction_relative_se,bias_reduction_relative_ci95,bias_reduction_re_mean,bias_reduction_re_sd,bias_reduction_re_se,bias_reduction_re_ci95,bias_reduction_relative_re_mean,bias_reduction_relative_re_sd,bias_reduction_relative_re_se,bias_reduction_relative_re_ci95,re_tau2_mean,re_tau2_sd,re_tau2_se,re_tau2_ci95,re_I2_mean,re_I2_sd,re_I2_se,re_I2_ci95,abs_bias_crude_mean,abs_bias_stratified_mean,abs_bias_re_mean
1A_predicted_prob,500,0.5,0.2,3,False,0.00124895903380879,0.0033185728547034817,0.0010494248802070025,0.002056872765205725,0.9249301157509677,0.17886876532052176,0.056563270067498644,0.11086400933229734,0.03458714555093594,0.02455560006758276,0.00776516255257461,0.015219718603046236,0.10082388893598655,0.1300579723011427,0.04112794203347014,0.08061076638560147,0.02570107099100396,0.02259938715376616,0.007146553712985098,0.014007245277450791,0.024851436845613372,0.021655223000985293,0.006847982792198024,0.013422046272708127,0.022075604337323092,0.02222733840427864,0.007028901568085302,0.01377664707344719,0.00084963414539056,0.007548777747182627,0.0023871331231491806,0.004678780921372394,0.033058316740496196,1.7611810321850538,0.5569343433591083,1.0915913129838521,0.00362546665368083,0.0058776361156981085,0.0018586717383270975,0.003642996607121111,0.1410628629036461,0.41361986847753485,0.13079808698882917,0.2563642504981052,0.00130797409048506,0.003521111436600251,0.0011134732034924362,0.002182407478845175,0.0872865714586861,0.21654444124977829,0.06847736489978179,0.1342156352035723,0.02570107099100396,0.024851436845613372,0.022075604337323092
1A_predicted_prob,500,0.5,0.2,5,False,0.005494012209153675,0.008404780293644408,0.0026578248961215143,0.005209336796398168,0.8895301299831356,0.21031510674575313,0.06650747636580231,0.13035465367697255,0.045186324703242096,0.027888989474463596,0.00881927283797673,0.01728577476243439,0.11052422033620841,0.11052894206655682,0.03495232042991176,0.06850654804262706,0.048397685498107745,0.026967861554530008,0.008527986613640395,0.016714853762735175,0.04466774919858423,0.022747813047436217,0.007193490101759433,0.014099240599448488,0.04260507838541098,0.0208262382434821,0.006585834794270779,0.012908236196770726,0.0037299362995235007,0.0056292363531907684,0.0017801208363502883,0.003489036839246565,0.07706848501400643,0.1976294145910887,0.062495908275355457,0.12249198021969669,0.00579260711269676,0.01049590104735929,0.0033190953405402178,0.006505426867458827,0.11968768863798762,0.2823770613618845,0.0892954672888683,0.17501911588618185,0.00350693786615457,0.005105774651150417,0.0016145877117186964,0.0031645919149686447,0.18677433562568463,0.22382189271196273,0.07077869711796435,0.13872624635121011,0.048397685498107745,0.04466774919858423,0.04260507838541098
1A_predicted_prob,500,0.5,0.2,10,False,-0.0001479574135200808,0.004292512378608933,0.001357411600087126,0.002660526736170767,0.9864783230362064,0.042759296990618055,0.013521676963793647,0.02650248684903555,0.047356725884492204,0.020771699844307146,0.006568588238137549,0.012874432946749595,0.1274293881864524,0.13788512205840422,0.043603104115488185,0.08546208406635684,0.04527727925530532,0.04114805724051046,0.013012158217099595,0.025503830105515206,0.04611169591532156,0.04306497409734881,0.013618340552377605,0.026691947482660107,0.035544822347943185,0.03130393819544147,0.009899174443073621,0.019402381908424297,-0.00083441666001621,0.007295257257738321,0.0023069629051327123,0.004521647294060116,-0.01842903711840127,0.2972082314471324,0.09398549507234198,0.18421157034179028,0.00973245690736213,0.012256238659420202,0.003875762971037655,0.007596495423233803,0.21495233519849244,0.28975522445663865,0.09162864732163027,0.17959214875039534,0.0010230331637512001,0.0023895589117868153,0.0007556448764399708,0.0014810639578223428,0.037608361772206736,0.08495276718084084,0.026864423782545846,0.052654270613789855,0.04527727925530532,0.04611169591532156,0.035544822347943185
1A_predicted_prob,500,0.5,0.5,3,False,0.006666132407828006,0.006302094834160025,0.0019928973706326795,0.0039060788464400516,0.978107498359388,0.045334416641651804,0.014336001298266109,0.028098562544601573,0.09716318348155933,0.06012635395545316,0.019013622590070618,0.03726670027653841,0.0342486405982573,0.025110367920373126,0.007940595551320467,0.015563567280588114,0.034321341341592954,0.027377008610784587,0.008657370273212145,0.016968445735495805,0.03458556926708741,0.02630763151601736,0.008319203543504329,0.016305638945268486,0.03599706369223461,0.02107116057264598,0.006663286035269914,0.01306004062912903,-0.00026422792549445,0.005419777900693414,0.0017138842578437057,0.003359213145373663,-0.007698647988860774,0.2858149843997245,0.09038263401086227,0.17714996266129004,-0.00167572235064164,0.01268358651777053,0.004010902229595859,0.007861368370007884,-0.04882450059173249,1.5603407326851881,0.4934230641221131,0.9671092056793417,0.00012453081283310999,0.00035866137906262284,0.0001134186866574915,0.00022230062584868335,0.01553990932687766,0.04397771321958902,0.013906974005959798,0.027257669051681203,0.034321341341592954,0.03458556926708741,0.03599706369223461
1A_predicted_prob,500,0.5,0.5,5,False,0.00885893751103666,0.00899521124862678,0.0028445355580027777,0.005575289693685444,0.9936433816069752,0.013547877217834266,0.004284214946866143,0.008397061295857641,0.10916868658008776,0.07954206471973721,0.025153409430689236,0.0493006824841509,0.10134547146629154,0.10593762445551987,0.03350041831869978,0.06566081990465157,0.030593608625341863,0.019765343356727257,0.006250350374253608,0.012250686733537072,0.02418950086716536,0.012928699897286705,0.004088413886021097,0.00801329121660135,0.018978552058047223,0.01406685223866273,0.004448329258321271,0.008718725346309691,0.0064041077581764696,0.00962055363960621,0.0030422861852978313,0.005962880923183749,0.20932828933660785,1.489192666704048,0.4709240701604786,0.9230111775145381,0.01161505656729462,0.010710564448788564,0.0033869778684197725,0.006638476622102754,0.3796563102292366,2.060146122335371,0.6514754059343657,1.2768917956313568,0.00052081026869151,0.0011893403311541214,0.000376102435954594,0.0007371607744710042,0.044381204669678744,0.09938484012869167,0.03142824596983675,0.06159936210088004,0.030593608625341863,0.02418950086716536,0.018978552058047223
1A_predicted_prob,500,0.5,0.5,10,False,0.004118983707654481,0.006207103308785083,0.0019628584127728294,0.0038472024890347455,1.0,0.0,0.0,0.0,0.1319588121816025,0.07288625862266508,0.02304865873757087,0.0451753711256389,0.16261772696347032,0.14610691304569784,0.046203062712057416,0.09055800291563254,0.023034167731616293,0.0155402373529989,0.004914254541510261,0.009631938901360111,0.027533107775085598,0.023655226441391987,0.007480439412183823,0.014661661247880292,0.02330798902170048,0.016202011055935706,0.005123525761198657,0.010042110491949368,-0.004498940043469289,0.015920180996663758,0.005034403271158696,0.009867430411471045,-0.19531593656384372,0.6931849019675005,0.21920431298578347,0.4296404534521356,-0.0002738212900841596,0.014077581819769657,0.00445172224978501,0.00872537560957862,-0.011887613795064311,3.002805959939016,0.9495706204935614,1.8611584161673804,0.00049375482658445,0.0014641472047185833,0.00046300399966795543,0.0009074878393491926,0.0210481852779588,0.060530259790118,0.01914134882984785,0.03751704370650178,0.023034167731616293,0.027533107775085598,0.02330798902170048
1A_predicted_prob,500,0.5,1.0,3,False,0.02176479256533543,0.013973703202874716,0.004418872946827405,0.008660990975781713,0.8679563550491995,0.16213597158160417,0.051271896084220205,0.1004929163250716,0.23192961390078404,0.09537192074697722,0.03015924943855152,0.05911212889956098,0.05846292808087646,0.05052635657703622,0.01597783686532633,0.031316560256039606,0.03222007637515676,0.03000151529987906,0.009487312160400737,0.018595131834385444,0.03301339892867374,0.029848422855043213,0.009438900078576243,0.018500244154009436,0.03032075749498809,0.026533494469324796,0.008390627680654704,0.01644563025408322,-0.0007933225535169865,0.0071480049765553924,0.0022603976452133514,0.004430379384618169,-0.024621994817140447,0.916693281187029,0.2898838684324192,0.5681723821275416,0.00189931888016866,0.00658751938260524,0.0020831565379538742,0.004082986814389593,0.0589483047170285,0.6069246310638159,0.19192642022190404,0.3761757836349319,0.00202056859088844,0.002769950205743699,0.0008759351655402105,0.0017168329244588126,0.18257989488716744,0.18482390953337485,0.05844645201823728,0.11455504595574507,0.03222007637515676,0.03301339892867374,0.03032075749498809
1A_predicted_prob,500,0.5,1.0,5,False,0.02618359637024766,0.009825062791065174,0.0031069576573936985,0.006089637008491649,0.8922395377900674,0.18320600389028602,0.05793482533109726,0.11355225764895063,0.32987730445943,0.10138643967925508,0.032061207324171725,0.06283996635537659,0.13773016676319827,0.11338019571277291,0.03585396600080204,0.07027377336157199,0.03545694719655963,0.025230256638515546,0.007978507692829265,0.01563787507794536,0.03323548194444024,0.021642678849383205,0.006844015983160319,0.013414271326994225,0.02632145884403337,0.013817021278013717,0.004369325771753392,0.008563878512636649,0.0022214652521193997,0.0083948961708561,0.0026546992620531317,0.0052032105536241385,0.06265246807076896,1.2367511340573827,0.39109504824175695,0.7665462945538436,0.009135488352526219,0.013891320418203392,0.004392821222872546,0.00860992959683019,0.2576501666057893,2.0415023590707957,0.6455797303270622,1.2653362714410419,0.0031417619665551504,0.0055811957829210584,0.0017649290741357229,0.003459260985306017,0.16093550527966477,0.243119322368893,0.07688108018824248,0.15068691716895527,0.03545694719655963,0.03323548194444024,0.02632145884403337
1A_predicted_prob,500,0.5,1.0,10,False,0.019673283284208955,0.009493359326352485,0.0030020638117675595,0.005884045071064417,0.9953371124974038,0.009934035852015168,0.0031414179650139313,0.006157179211427305,0.3222692482988679,0.09672331724932623,0.030586598535492317,0.05994973312956494,0.11127231154838697,0.13741836625232312,0.04345550296965577,0.08517278582052532,0.025550960070663688,0.018772759711833464,0.005936467865643994,0.011635477016662227,0.018743456789270998,0.01595970503103916,0.005046901868253202,0.009891927661776276,0.01557267200926502,0.00976521611706771,0.0030880324773719424,0.006052543655649007,0.006807503281392661,0.015236400654330491,0.0048181729410564185,0.00944361896447058,0.266428473238026,26.673579990939373,8.434926612206185,16.532456159924124,0.00997828806139863,0.013871723514117888,0.00438662413767274,0.008597783309838571,0.39052497572704636,9.379885957097986,2.9661803817058057,5.813713548143379,0.00060383922011996,0.0012730994094523748,0.0004025893821684801,0.000789075189050221,0.02429496183729734,0.05123044577117738,0.016200489418266184,0.03175295925980172,0.025550960070663688,0.018743456789270998,0.01557267200926502
1A_predicted_prob,500,1.0,0.2,3,False,0.00292230965610842,0.004711349629280493,0.001489859568191628,0.0029201247536555907,0.9878970935201752,0.038272750784257174,0.012102906479824828,0.023721696700456662,0.038507621563168636,0.0351253039663083,0.01110759640392805,0.02177088895169898,0.02015447337897488,0.029912898084707304,0.00945928893641634,0.018540206315376027,0.03885499808246536,0.023517192928708856,0.007436789382832579,0.014576107190351855,0.035431186948118906,0.02545236081101729,0.00804874319912251,0.01577553667028012,0.03548854098507102,0.025885028594733114,0.008185564765794422,0.016043706940957067,0.0034238111343464312,0.007283440427324824,0.0023032260952496526,0.004514323146689319,0.08811765032338448,0.25921171610347665,0.08196994190879323,0.16066108614123473,0.00336645709739434,0.00900800726634785,0.0028485820141006236,0.005583220747637222,0.08664154583792338,0.34847670494511634,0.11019800991370292,0.21598809943085773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03885499808246536,0.035431186948118906,0.03548854098507102
