method,n_strata,ARI_mean,ARI_sd,ARI_se,ARI_ci95,C1_heterogeneity_mean,C1_heterogeneity_sd,C1_heterogeneity_se,C1_heterogeneity_ci95,W_true_mean,W_true_sd,W_true_se,W_true_ci95,W_est_mean,W_est_sd,W_est_se,W_est_ci95,bias_crude_mean,bias_crude_sd,bias_crude_se,bias_crude_ci95,bias_stratified_mean,bias_stratified_sd,bias_stratified_se,bias_stratified_ci95,bias_re_mean,bias_re_sd,bias_re_se,bias_re_ci95,bias_reduction_mean,bias_reduction_sd,bias_reduction_se,bias_reduction_ci95,bias_reduction_relative_mean,bias_reduction_relative_sd,bias_reduction_relative_se,bias_reduction_relative_ci95,bias_reduction_re_mean,bias_reduction_re_sd,bias_reduction_re_se,bias_reduction_re_ci95,bias_reduction_relative_re_mean,bias_reduction_relative_re_sd,bias_reduction_relative_re_se,bias_reduction_relative_re_ci95,re_tau2_mean,re_tau2_sd,re_tau2_se,re_tau2_ci95,re_I2_mean,re_I2_sd,re_I2_se,re_I2_ci95,abs_bias_crude_mean,abs_bias_stratified_mean,abs_bias_crude_se,abs_bias_stratified_se,abs_bias_re_mean,abs_bias_re_se
2A_PCA_cum60,5,0.015928743419166655,0.004177909699920941,0.0005908456559998303,0.0011580574857596674,0.8807118124296305,0.21276951167931,0.03009015290763808,0.05897669969897064,0.1578564987861329,0.028979313192208932,0.004098293774467942,0.008032655797957167,0.08033031403571739,0.08939399220064136,0.012642219616482169,0.02477875044830505,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.018829121921951967,0.011963302522408027,0.001691866467796169,0.003316058276880491,0.01768865665147338,0.010477401133103746,0.001481728278085855,0.0029041874250482756,-0.00018173069844134183,0.0074823219421837565,0.0010581601168678065,0.0020739938290609008,-0.009745636602089824,2.304522667549889,0.057254415474962676,0.6387810934040741,0.000958734572037261,0.011346182212232277,0.0016045924765695251,0.0031450012540762693,0.05141387127806285,4.5071166684276065,0.08257682767014692,1.2493090018588795,0.0006627132990995274,0.0014952123981883233,0.00021145496521463275,0.00041445173182068015,0.12990906891854656,0.23567408770318926,0.03332934911297565,0.06532552426143227,0.018647391223510633,0.018829121921951967,0.0019429239352813197,0.001691866467796169,0.01768865665147338,0.001481728278085855
2A_PCA_cum60,10,0.013769620095712882,0.00403021203260634,0.0005699580515751125,0.0011171177810872204,0.9656145906607349,0.08485680110291528,0.0120005638979339,0.023521105239950442,0.17997240615391252,0.036912676343427084,0.005220240750836309,0.010231671871639165,0.08943721081451794,0.09198631181690314,0.013008828972414493,0.025497304785932404,0.01965450660573001,0.01646716346007125,0.002328808589904742,0.004564464836213295,0.018092500954928516,0.015634319290946695,0.0022110266379728126,0.004333612210426713,0.016364750547895487,0.013646480061096873,0.001929903718105722,0.003782611287487215,0.0015620056508014837,0.005800353235543562,0.0008202938212260369,0.0016077758896030322,0.07947315504455921,0.7398512651277419,0.03977561721248122,0.20507630788337883,0.003289756057834516,0.010551499862066398,0.0014922074208312142,0.00292472654482918,0.16737922369801128,1.555019497998171,0.06675761073233485,0.43102941410942863,0.00034919904672743726,0.0008194397743114489,0.00011588628423791991,0.00022713711710632302,0.05999170442615288,0.12057477711385116,0.017051848507452137,0.03342162307460619,0.01965450660573001,0.018092500954928516,0.002328808589904742,0.0022110266379728126,0.016364750547895487,0.001929903718105722
2B_clustering,3,0.02098580254585166,0.0056082272427514755,0.0007931231027569404,0.0015545212814036032,0.855760647880131,0.24031603363373355,0.03398581940205348,0.06661220602802483,0.2245511066698174,0.03646203460784303,0.0051565103854128765,0.010106760355409238,0.080738064077205,0.0661593149138977,0.00935634004285467,0.018338426483995154,0.020691046476992634,0.01489442327684498,0.0021063895401839685,0.004128523498760578,0.01803858461357663,0.013125621007334718,0.0018562431243141963,0.003638236523655825,0.014391685857848535,0.013245743771892388,0.001873231048592917,0.003671532855242117,0.0026524618634159803,0.0066852242390394575,0.0009454334786354955,0.0018530496181255712,0.12819370283496312,2.850375236813268,0.04115449732958636,0.7900837062797342,0.00629936061914407,0.010462350673498036,0.0014795998216764208,0.0029000156504857847,0.3044486235217083,5.878442786999221,0.06210874488696478,1.6294212089416842,0.0006084105616697251,0.0013757242307591332,0.00019455678652248595,0.00038133130158407244,0.15887490120441827,0.2620389328743581,0.03705790127406903,0.0726334864971753,0.020691046476992634,0.01803858461357663,0.0021063895401839685,0.0018562431243141963,0.014391685857848535,0.001873231048592917
2B_clustering,5,0.023476932816912665,0.005469495311028933,0.0007735034448193166,0.0015160667518458605,0.864695901413751,0.1905205332846137,0.02694367220816554,0.05280959752800445,0.20950684779588205,0.031777200724848714,0.0044939748239333195,0.008808190654909306,0.14348831202154547,0.08681259663641991,0.012277155154804997,0.024063224103417793,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.017956262108634064,0.01253332966979593,0.0017724804800718509,0.0034740617409408274,0.016506648142750106,0.011844730608450088,0.0016750978669125836,0.003283191819148664,0.0006911291148765598,0.006586687818273665,0.0009314983243720269,0.0018257367157691726,0.037063045795124094,1.7199937560471688,0.04847948187702095,0.4767579454117935,0.0021407430807605125,0.00917587084962434,0.0012976641002122675,0.002543421636416044,0.11480121026588841,4.514071423483695,0.06410867559112576,1.2512367616078468,0.0005563591838367416,0.0009292405964458902,0.00013141446542014418,0.0002575723522234826,0.14602635429873406,0.20964438296414534,0.029648192966323338,0.05811045821399374,0.018647391223510633,0.017956262108634064,0.0019429239352813197,0.0017724804800718509,0.016506648142750106,0.0016750978669125836
2B_clustering,10,0.020667941806774184,0.003624168555397351,0.0005125348323369041,0.001004568271380332,0.9576749077350512,0.0882561711989943,0.012481307427273948,0.024463362557456937,0.22588970319828444,0.026078696858516878,0.0036880846786331196,0.007228645970120915,0.20924632603452284,0.06453256759495692,0.009126283230754657,0.01788751513227913,0.01965450660573001,0.01646716346007125,0.002328808589904742,0.004564464836213295,0.017799961399355455,0.015609193280298181,0.0022074732834700666,0.0043266476356013306,0.015578807908238042,0.01211416373933864,0.0017132014656981072,0.0033578748727682898,0.0018545452063745635,0.0073684729965422,0.0010420594445689898,0.0020424365113552202,0.09435725065893474,1.6163977843931348,0.050361823204444205,0.4480426071002042,0.0040756986974919765,0.010949737429282484,0.0015485267176915598,0.003035112366675457,0.20736713361727188,1.6815148005138116,0.06471635436650129,0.4660921230986735,0.0003181798274349239,0.00075192718932701,0.00010633856290633394,0.0002084235832964145,0.058588592494383675,0.11995999026000055,0.016964904516783716,0.03325121285289608,0.01965450660573001,0.017799961399355455,0.002328808589904742,0.0022074732834700666,0.015578807908238042,0.0017132014656981072
GMM,3,0.006101625955923618,0.003498943098369248,0.0004948252783685529,0.0009698575456023636,0.8378127132524665,0.25794627743073995,0.036479112390620544,0.07149906028561627,0.07093407220553051,0.038520710874321365,0.005447651175071804,0.010677396303140735,0.07033570471631516,0.061758250493379886,0.008733935543617273,0.017118513665489853,0.020691046476992634,0.01489442327684498,0.0021063895401839685,0.004128523498760578,0.02037739767321638,0.013872372628325176,0.001961849751327076,0.0038452255126010687,0.01834938492994535,0.01205124250822104,0.001704303059857335,0.0033404339973203763,0.00031364880377624335,0.0048144056542687,0.0006808597771032509,0.0013344851631223718,0.015158672816525498,1.7722733195783287,0.03237209514912478,0.49124910109681313,0.002341661547047272,0.00799238372123826,0.0011302937454265095,0.0022153757410359586,0.11317269765215066,2.466758479540261,0.04872477837395501,0.6837505661854757,0.000717920976784728,0.001213926226296151,0.00017167509329484075,0.00033648318285788785,0.19364770143008592,0.26769083991530757,0.0378572016331273,0.0742001152009295,0.020691046476992634,0.02037739767321638,0.0021063895401839685,0.001961849751327076,0.01834938492994535,0.001704303059857335
GMM,5,0.005299448350804161,0.003287721101085023,0.0004649539770454645,0.0009113097950091104,0.8948908542348073,0.17596972423483132,0.024885877057995193,0.04877631903367058,0.04980383379583163,0.02982475340901675,0.004217857076546469,0.008266999870031079,0.09584468570599725,0.08036076899303506,0.011364728939268147,0.022274868720965568,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.0179684327285214,0.013746108597149979,0.00194399332079429,0.0038102269087568084,0.016860022936767978,0.012753687076155559,0.0018036437233361654,0.0035351416977388844,0.000678958494989252,0.003960333959928513,0.0005600757997657648,0.001097748567540899,0.036410374344117535,1.1588166718465023,0.029733602744566205,0.32120759371135765,0.0017873682867426304,0.006833204194191319,0.000966361004589008,0.0018940675689944556,0.0958508493396728,4.895351740866738,0.04882713112052212,1.3569222736060145,0.0006081064210576103,0.0012290006873491067,0.00017380694402149626,0.0003406616102821327,0.12671957326460018,0.19027865540598887,0.02690946551052661,0.05274255240063216,0.018647391223510633,0.0179684327285214,0.0019429239352813197,0.00194399332079429,0.016860022936767978,0.0018036437233361654
GMM,10,0.007111441934540653,0.003204812076542446,0.00045322887035034086,0.000888328585886668,0.9479909056010706,0.13066704968433077,0.01847911138188596,0.036219058308496484,0.09286081586630145,0.030185887319374136,0.004268929123932493,0.008367101082907686,0.12149254972936696,0.05760345444347403,0.00814635865135017,0.01596686295664633,0.01965450660573001,0.01646716346007125,0.002328808589904742,0.004564464836213295,0.01953702261181175,0.016742964970852724,0.0023678128136117573,0.004640913114679044,0.01738370258283077,0.01461383367283517,0.0020667081778388114,0.00405074802856407,0.00011748399391825495,0.00414396979491252,0.0005860458286029739,0.0011486498240618288,0.0059774583140137505,0.8861646177025019,0.029784186228967308,0.24563230008660922,0.002270804022899242,0.007567135499154881,0.0010701545651219731,0.0020975029476390673,0.11553604821792962,1.485548753558997,0.04964812843317279,0.4117731061905177,0.0006813512163945115,0.0016733973537470064,0.0002366541232908264,0.00046384208165001976,0.0856729770197464,0.15618859932383355,0.022088403545182263,0.043293270948557235,0.01965450660573001,0.01953702261181175,0.002328808589904742,0.0023678128136117573,0.01738370258283077,0.0020667081778388114
PS_propensity_score,3,0.006290072946188174,0.005228822560974123,0.0007394671780972024,0.0014493556690705167,0.8878375114202334,0.2012860232344777,0.028466142397434425,0.055793639098971476,0.05656319971442555,0.05265049565283641,0.007445904501790693,0.014593972823509757,0.05887004601632882,0.062422526063941386,0.008827878295721393,0.01730264145961393,0.020691046476992634,0.01489442327684498,0.0021063895401839685,0.004128523498760578,0.017773896153219674,0.012665352806687461,0.0017911513711457551,0.00351065668744568,0.01700354890183505,0.0121945646187248,0.0017245718671035702,0.0033801608595229976,0.002917150323772934,0.007829433429214454,0.001107249094129237,0.0021702082244933044,0.1409861181751575,4.532442272360637,0.04755347593536719,1.2563289011201262,0.0036874975751575636,0.010101022060506672,0.0014285002391798362,0.0027998604687924787,0.1782170650120518,4.929168245061451,0.060309645513480926,1.3662957303433996,0.00036822374282502994,0.0008491951208387087,0.00012009432569911611,0.00023538487837026757,0.11854615186968742,0.20001819236678595,0.028286844036645935,0.055442214311826034,0.020691046476992634,0.017773896153219674,0.0021063895401839685,0.0017911513711457551,0.01700354890183505,0.0017245718671035702
PS_propensity_score,5,0.005052142395907915,0.004141071270321582,0.0005856359153242362,0.001147846394035503,0.8810056373124815,0.20534786991520798,0.02904057426385132,0.05691952555714858,0.05014762333713182,0.053692343553229965,0.007593244044857343,0.014882758327920393,0.05896453146025868,0.06653921715935017,0.009410066333644157,0.018443730013942547,0.018647391223510633,0.01373854689967074,0.0019429239352813197,0.0038081309131513864,0.018164238301304866,0.012018767230903424,0.001699710362094895,0.003331432309705994,0.017543975752737775,0.012031925192327642,0.0017015711788448261,0.003335079510535859,0.0004831529222057771,0.0072276977636553845,0.0010221508202095133,0.002003415607610646,0.025909947210020934,1.213558654250918,0.05355439673610566,0.3363812970850704,0.0011034154707728644,0.009339412459276632,0.0013207923764505275,0.002588753057843034,0.05917264552167878,1.1546970721535672,0.0678847375114488,0.3200656989349275,0.000727311164373935,0.0013015742373070965,0.0001840703938835113,0.00036077797201168214,0.14431953300795147,0.22960681843857625,0.03247130766491713,0.06364376302323758,0.018647391223510633,0.018164238301304866,0.0019429239352813197,0.001699710362094895,0.017543975752737775,0.0017015711788448261
