method,ARI_mean,ARI_sd,ARI_se,ARI_ci95,C1_heterogeneity_mean,C1_heterogeneity_sd,C1_heterogeneity_se,C1_heterogeneity_ci95,W_true_mean,W_true_sd,W_true_se,W_true_ci95,W_est_mean,W_est_sd,W_est_se,W_est_ci95,bias_crude_mean,bias_crude_sd,bias_crude_se,bias_crude_ci95,bias_stratified_mean,bias_stratified_sd,bias_stratified_se,bias_stratified_ci95,bias_re_mean,bias_re_sd,bias_re_se,bias_re_ci95,bias_reduction_mean,bias_reduction_sd,bias_reduction_se,bias_reduction_ci95,bias_reduction_relative_mean,bias_reduction_relative_sd,bias_reduction_relative_se,bias_reduction_relative_ci95,bias_reduction_re_mean,bias_reduction_re_sd,bias_reduction_re_se,bias_reduction_re_ci95,bias_reduction_relative_re_mean,bias_reduction_relative_re_sd,bias_reduction_relative_re_se,bias_reduction_relative_re_ci95,re_tau2_mean,re_tau2_sd,re_tau2_se,re_tau2_ci95,re_I2_mean,re_I2_sd,re_I2_se,re_I2_ci95,abs_bias_crude_mean,abs_bias_stratified_mean,abs_bias_crude_se,abs_bias_stratified_se,abs_bias_re_mean,abs_bias_re_se,C1_heterogeneity_5pct,C1_heterogeneity_95pct,W_est_5pct,W_est_95pct
1A_predicted_prob,0.02899837205477781,0.0042689228787621296,0.00030185843159350996,0.0005916425259232795,0.9030145552643589,0.1655945729702285,0.011709304547493913,0.02295023691308807,0.4788684422049239,0.02979012101721363,0.0021064796583639646,0.0041287001303933705,0.09433441088551657,0.10464076951059588,0.007399219770952087,0.014502470751066091,0.019575825912634702,0.01517921411702832,0.0010733325235233297,0.002103731746105726,0.01746206080138495,0.013510506770031008,0.0009553370954355684,0.001872460707053714,0.0139632478181161,0.010759026710548127,0.0007607780745995774,0.0014911250262151718,0.0021137651112497395,0.00939189963250505,0.0006641075918367765,0.0013016508800000818,0.10797833617254837,9.946413082026783,0.031531383275187466,1.3785025232016104,0.005612578094518597,0.013081852688635013,0.0009250266746617286,0.001813052282336988,0.2867096448225007,11.311764329502836,0.03756232352145146,1.5677305518568088,0.0003482934435067266,0.0006595726027822477,4.6638826011218846e-05,9.141209898198893e-05,0.11586379679510081,0.18826931124648422,0.013312650667170972,0.026092795307655105,0.019575825912634702,0.01746206080138495,0.0010733325235233297,0.0009553370954355684,0.0139632478181161,0.0007607780745995774,0.5107863571374264,1.0,0.006014425732014696,0.3089637522499471
1B_residual,0.031225186563382305,0.0045401485627980746,0.00032103698363488765,0.0006292324879243798,0.8934116457744784,0.20538532500811507,0.014522935606944117,0.02846495378961047,0.49226400490330086,0.026675722362794075,0.0018862584175781323,0.003697066498453139,0.0669079146382171,0.0756234572567331,0.0053473859443007,0.010480876450829372,0.019575825912634702,0.01517921411702832,0.0010733325235233297,0.002103731746105726,0.011626251938229455,0.009224917684079157,0.0006523001850300073,0.0012785083626588145,0.005918232742025924,0.002034301931610291,0.0001438468690822529,0.0002819398634012157,0.007949573974405233,0.016215463153638972,0.0011466063956018717,0.0022473485353796683,0.4060913705446473,7.752126388386554,0.04199275386712323,1.074389903017289,0.013657593170608747,0.015905983996149183,0.0011247229145121785,0.00220445691244387,0.6976764725821272,4.435293706889049,0.020038933219678545,0.6147003463122721,1.5068100349967416e-05,5.873069583334642e-05,4.152887328756377e-06,8.139659164362499e-06,0.03723292807381412,0.12068070833910051,0.00853341472249739,0.016725492856094884,0.019575825912634702,0.011626251938229455,0.0010733325235233297,0.0006523001850300073,0.005918232742025924,0.0001438468690822529,0.4463432912792241,1.0,0.004382045201863626,0.23208254381061139
2A_PCA_cum60,0.016685968913750068,0.0049455683567596114,0.00034970449218863316,0.000685420804689721,0.8759478654933807,0.18871918645880784,0.013344461648503149,0.026155144831066172,0.2348444095927877,0.040540804345224744,0.0028666677667265467,0.005618668822784031,0.08423704871005772,0.09039165720841269,0.006391655377475848,0.012527644539852662,0.019575825912634702,0.01517921411702832,0.0010733325235233297,0.002103731746105726,0.018442933295213425,0.014060380238189797,0.0009942190212485328,0.0019486692816471243,0.017011764867914902,0.012280395003691321,0.000868355058275953,0.0017019759142208677,0.0011328926174212705,0.006885628795229239,0.0004868874813839952,0.0009542994635126305,0.05787202146551995,5.005018116925456,0.023836447843694278,0.6936601210861447,0.0025640610447197924,0.010193306797498065,0.0007207756359225812,0.0014127202464082592,0.13098098931626145,5.212772793107863,0.03307051721044178,0.7224534501950967,0.0005334344364280914,0.0009703937142454261,6.861719757637416e-05,0.00013448970724969336,0.13441464545637644,0.2042721830722026,0.014444224585813435,0.02831068018819433,0.019575825912634702,0.018442933295213425,0.0010733325235233297,0.0009942190212485328,0.017011764867914902,0.000868355058275953,0.46871053008500785,1.0,0.003165808904053585,0.2797058480746383
2B_clustering,0.02336366119560345,0.004095022773956843,0.00028956183725782305,0.0005675412010253332,0.8871471333798654,0.18895413356396584,0.013361074917630887,0.02618770683855654,0.30962943933975784,0.03151951848782277,0.0022287665262474233,0.00436838239144495,0.133393621681923,0.08675514354835845,0.006134515030585662,0.012023649459947897,0.019575825912634702,0.01517921411702832,0.0010733325235233297,0.002103731746105726,0.01855141914822385,0.013761977616413705,0.000973118769510361,0.0019073127882403074,0.01532270798967259,0.011619437952063553,0.0008216183369480468,0.0016103719404181717,0.0010244067644108409,0.007224124789862264,0.000510822762704945,0.001001212614901692,0.052330193831039096,6.099309170544864,0.025010412900582066,0.8453211235089317,0.004253117922962093,0.011110565483105904,0.0007856356195921374,0.0015398458144005893,0.21726377941566433,5.979557287611665,0.03364810457960418,0.8287243592864748,0.0005504824732581153,0.0010099871394392524,7.141687552086986e-05,0.0001399770760209049,0.14204620470512322,0.21314085935714885,0.015071334699936816,0.029539816011876156,0.019575825912634702,0.01855141914822385,0.0010733325235233297,0.000973118769510361,0.01532270798967259,0.0008216183369480468,0.4441003680314417,1.0,0.02616874483270877,0.2875335164777082
GMM,0.004975120045924709,0.003360639566506044,0.0002376331026600243,0.0004657608812136476,0.878913860592708,0.1874052989472167,0.013251555771586907,0.02597304931231034,0.0723541734820311,0.03697243631933641,0.002614346043839057,0.005124118245924552,0.08093087392479145,0.07074494849502073,0.00500242328155222,0.00980474963184235,0.019575825912634702,0.01517921411702832,0.0010733325235233297,0.002103731746105726,0.0188279110958154,0.014934569971639285,0.0010560335701051123,0.00206982579740602,0.01859628271188811,0.01414216280915446,0.0010000019222997313,0.001960003767707473,0.0007479148168192972,0.00409725620668548,0.00028971976480059733,0.0005678507390091708,0.038206041479791675,1.7910268305336687,0.01453903478397084,0.24822365456285167,0.0009795432007465945,0.007169897865659178,0.0005069883401222558,0.0009936971466396212,0.05003840987952246,6.22356402808359,0.024997082176884348,0.862541968171688,0.0006393721102041848,0.0012082797660335454,8.54382816132815e-05,0.00016745903196203175,0.13559068532062019,0.20032403743191757,0.014165048530277669,0.027763495119344228,0.019575825912634702,0.0188279110958154,0.0010733325235233297,0.0010560335701051123,0.01859628271188811,0.0010000019222997313,0.47029636913777007,1.0,0.010275490682033086,0.21848136567324739
PS_propensity_score,0.006747218420815503,0.005519368117054317,0.00039027826234339335,0.000764945394193051,0.8789391473942929,0.18965999277607778,0.01341098670117562,0.026285533934304217,0.09277940774176742,0.0812967988370793,0.00574855177464574,0.01126716147830565,0.06494183393102632,0.08051572971590948,0.005693321847430281,0.01115891082096335,0.019575825912634702,0.01517921411702832,0.0010733325235233297,0.002103731746105726,0.018418113754660136,0.012723702907990568,0.0008997016608043125,0.0017634152551764524,0.017721953417580486,0.011902908934560232,0.0008416627623473483,0.0016496590142008026,0.0011577121579745633,0.009116479753463998,0.0006446324654224258,0.0012634796322279545,0.05913988830618644,11.187300586788135,0.031271417709636616,1.550480757185666,0.0018538724950542091,0.011516767458563221,0.0008143584367298614,0.0015961425359905283,0.09470213432260255,16.52801673203445,0.03852288717099032,2.290666251314111,0.000618903176989018,0.0011848358854101798,8.378054891667053e-05,0.00016420987587667423,0.13419200934772865,0.20313217663350383,0.01436361395747341,0.028152683356647883,0.019575825912634702,0.018418113754660136,0.0010733325235233297,0.0008997016608043125,0.017721953417580486,0.0008416627623473483,0.4607334059341841,1.0,0.0026743916483796203,0.24570771472649627
Prognostic_score,0.026388052396707478,0.004727046575225429,0.0003342526688326546,0.000655135230912003,0.8779198422967036,0.19009369351475258,0.013441653974507878,0.026345641790035443,0.4382653127671256,0.04189943222356994,0.0029627372653152446,0.0058069650400178795,0.09296406913107998,0.10458157987784007,0.00739503443188233,0.014494267486489368,0.019575825912634702,0.01517921411702832,0.0010733325235233297,0.002103731746105726,0.01764265557357312,0.013320838904137437,0.000941925552020916,0.0018461740819609954,0.014232652730434742,0.010917560025915632,0.0007719880728336123,0.0015130966227538802,0.0019331703390615723,0.009087958440108762,0.0006426157040142424,0.0012595267798679152,0.09875293883840008,9.419463616096559,0.030533084701824708,1.3054710532240397,0.005343173182199952,0.012899689909980553,0.0009121458210550933,0.0017878058092679829,0.272947522421077,8.99766545816232,0.037502415221704985,1.2470128110216498,0.0004893884979460057,0.0008810292650551488,6.229817677442959e-05,0.00012210442647788198,0.14410217089899,0.20729551304794416,0.014658006298574576,0.028729692345206167,0.019575825912634702,0.01764265557357312,0.0010733325235233297,0.000941925552020916,0.014232652730434742,0.0007719880728336123,0.45344873955202314,1.0,0.005667144633533535,0.3077695114700699
baseline_oracle_kmeans,0.3728004604408048,0.01993944754010351,0.0014099318568720615,0.0027634664394692405,0.8933086936583358,0.18698744409799584,0.013222008971843332,0.02591513758481293,0.392482738887688,0.09594814320556763,0.006784558270291483,0.013297734209771307,0.03075939866806067,0.022184532372709384,0.0015686833278195293,0.003074619322526277,0.019575825912634702,0.01517921411702832,0.0010733325235233297,0.002103731746105726,0.01842858246180664,0.013619371711989386,0.0009630350093047934,0.001887548618237395,0.014414653617116175,0.011085118211261255,0.0007838362257437325,0.0015363190024577156,0.001147243450828052,0.007695020236293695,0.0005441200990450981,0.0010664753941283924,0.058605111015398004,9.766946262321351,0.026519590858199524,1.3536296909801182,0.0051611722955185076,0.012157099889250804,0.0008596367771251469,0.0016848880831652879,0.2636502959595377,7.069301130201159,0.03548274013188904,0.9797551504133328,0.0005221095886025453,0.0009645489894662164,6.820391312381934e-05,0.0001336796697226859,0.143545747354226,0.2151485422206451,0.015213299316661839,0.029818066660657203,0.019575825912634702,0.01842858246180664,0.0010733325235233297,0.0009630350093047934,0.014414653617116175,0.0007838362257437325,0.47865880793201615,1.0,0.00420061162658369,0.07094943675850689
baseline_oracle_quantile,0.09450009194787273,0.0073988737127405665,0.0005231793775421742,0.0010254315799826613,0.8829630417041194,0.18879946765739455,0.013350138386495394,0.026166271237530972,0.5345709267613777,0.02718781977762048,0.0019224691730433173,0.0037680395791649017,0.03664804452317466,0.0423413636833352,0.002993986538517213,0.005868213615493737,0.019575825912634702,0.01517921411702832,0.0010733325235233297,0.002103731746105726,0.01756087526303538,0.013182360804714075,0.0009321336717061076,0.001826981996543971,0.013384639293579217,0.009245791154571241,0.0006537761622831923,0.0012814012780750568,0.0020149506495993215,0.009503918799735037,0.0006720285431138958,0.001317175944503236,0.10293055621723868,9.486119400592905,0.03182768727137826,1.314709073639684,0.006191186619055474,0.01348174485900551,0.0009533033212029671,0.0018684745095578154,0.3162669430493631,13.31268045255067,0.03638873093754226,1.8450433782585622,0.00047186781560895586,0.000839126858731824,5.933522920850388e-05,0.0001162970492486676,0.15019493713125456,0.22068374354823855,0.015604697156059248,0.030585206425876126,0.019575825912634702,0.01756087526303538,0.0010733325235233297,0.0009321336717061076,0.013384639293579217,0.0006537761622831923,0.4812464491162694,1.0,0.0019903911378147403,0.1292542645193851
baseline_random,-0.00010831635561786579,0.0012775311253026042,9.033509218783523e-05,0.00017705678068815703,0.8990455477287679,0.18363386324395803,0.012984874995528582,0.02545035499123602,0.004026947731230174,0.002905230130865962,0.00020543079264428025,0.0004026443535827893,0.004305654087346009,0.0029345244070935216,0.00020750221078132618,0.00040670433313139934,0.019575825912634702,0.01517921411702832,0.0010733325235233297,0.002103731746105726,0.019467801419027597,0.015169463106819521,0.0010726430229791237,0.0021023803250390825,0.018996641231562937,0.014940346294019734,0.0010564420177776657,0.0020706263548442246,0.00010802449360710606,0.001336305425860731,9.449106283625001e-05,0.00018520248315905002,0.00551825982153753,0.6962534630099207,0.004820879692756892,0.09649580684331067,0.0005791846810717585,0.002698539049617793,0.00019081552612814427,0.00037399843121116276,0.02958673026908898,0.5848038074801228,0.009594634783139717,0.08104967263484979,0.0005393850395260689,0.0011966666703363844,8.461711174147841e-05,0.00016584953901329768,0.10731440112169345,0.19004489866144425,0.013438203657341745,0.02633887916838982,0.019575825912634702,0.019467801419027597,0.0010733325235233297,0.0010726430229791237,0.018996641231562937,0.0010564420177776657,0.4619029781406715,1.0,0.0006876571482378849,0.01027920886829863
