method,n,z_effect_scale,zx_influence_scale,n_strata,ARI_mean,ARI_sd,ARI_se,ARI_ci95,C1_heterogeneity_mean,C1_heterogeneity_sd,C1_heterogeneity_se,C1_heterogeneity_ci95,W_true_mean,W_true_sd,W_true_se,W_true_ci95,W_est_mean,W_est_sd,W_est_se,W_est_ci95,bias_crude_mean,bias_crude_sd,bias_crude_se,bias_crude_ci95,bias_stratified_mean,bias_stratified_sd,bias_stratified_se,bias_stratified_ci95,bias_reduction_mean,bias_reduction_sd,bias_reduction_se,bias_reduction_ci95,bias_reduction_relative_mean,bias_reduction_relative_sd,bias_reduction_relative_se,bias_reduction_relative_ci95,abs_bias_crude_mean,abs_bias_stratified_mean
1A_predicted_prob,500,0.5,0.2,3,-2.715071627817343e-05,0.0037947007249342834,0.0006928143953425712,0.0013579162148714395,0.8899671228872403,0.17052433130229908,0.0311333409525845,0.061021348267065616,0.028646362105445047,0.02339095446100365,0.004270584466622598,0.008370345554580293,0.0775676853895197,0.09324961294474039,0.017024972162820017,0.03336894543912723,0.037760233104568434,0.026336730343440314,0.004808407100011013,0.009424477916021586,0.03762860142976191,0.025726450605560957,0.004696985773736059,0.009206092116522674,0.00013163167480652,0.004520046789738602,0.0008252438625728811,0.0016174779706428469,0.00348598681692458,1.0737017460466771,0.19603022211414944,0.3842192353437329,0.037760233104568434,0.03762860142976191
1A_predicted_prob,500,0.5,0.2,5,0.0003154927402563608,0.00511565801056048,0.0009339870962886587,0.0018306147087257712,0.8762954808350099,0.152085206695961,0.027766832790071194,0.05442299226853954,0.03440053721401185,0.01862612187361327,0.003400649036339459,0.0066652721112253396,0.09662186448004882,0.08952371803363236,0.016344719932917494,0.03203565106851829,0.03898537335292797,0.026913815237432435,0.004913767904689334,0.009630985093191095,0.04084308401090446,0.029748808567671828,0.005431364503805603,0.010645474427458982,-0.0018577106579764702,0.007546417427818204,0.0013777810178553813,0.0027004507949965474,-0.047651477931452746,0.303126196475185,0.055343018526733935,0.10847231631239851,0.03898537335292797,0.04084308401090446
1A_predicted_prob,500,0.5,0.2,10,-0.0012944847403463234,0.005568887161131128,0.0010167350394508085,0.0019928006773235847,0.9846405376562047,0.047106160139162113,0.008600368835223261,0.016856722917037593,0.06541816466461708,0.028034531957279334,0.005118381847367116,0.010032028420839547,0.10813069693716798,0.08760290103686887,0.01599402833359526,0.03134829553384671,0.03526566327016451,0.024925888362145876,0.0045508237739342655,0.00891961459691116,0.034672098928276274,0.023588826466496328,0.004306710786924973,0.008441153142372947,0.0005935643418882361,0.010306115959870276,0.001881630730494986,0.0036879962317701723,0.0168312258113803,0.8798083526154168,0.16063029366964102,0.3148353755924964,0.03526566327016451,0.034672098928276274
1A_predicted_prob,500,0.5,0.5,3,0.006150864934639164,0.004521181546793464,0.0008254510399182929,0.001617884038239854,0.8921276344264053,0.19747893274764725,0.03605455536597735,0.0706669285173156,0.08918360949782303,0.05649301474119422,0.010314166171741315,0.020215765696612976,0.08071073077474876,0.08748151678676125,0.015971866702958665,0.03130485873779898,0.0372261666783767,0.030539897326058836,0.005575796889791377,0.010928561903991099,0.037429143820488085,0.029252023609654492,0.005340664394560486,0.010467702213338552,-0.0002029771421113698,0.005471777560295738,0.00099900533314152,0.0019580504529573793,-0.005452539442619697,7.666352566686682,1.399678078187308,2.7433690332471237,0.0372261666783767,0.037429143820488085
1A_predicted_prob,500,0.5,0.5,5,0.004624349601179217,0.006518289684978926,0.001190071432272067,0.002332540007253251,0.9178582512581237,0.1720416721539038,0.03141036822320051,0.061564321717472996,0.11623233503353554,0.046584745844440785,0.008505172044881755,0.016670137207968238,0.08226772742336852,0.09380934497366616,0.017127164782286944,0.03356924297328241,0.03369756644825006,0.03460275690879035,0.006317570170270735,0.01238243753373064,0.034069785836665964,0.030739432318276583,0.0056122268285411355,0.010999964583940626,-0.00037221938841590975,0.008942371805663268,0.001632646251853325,0.003199986653632517,-0.011045883357408748,2.7330174929831235,0.4989784436543579,0.9779977495625415,0.03369756644825006,0.034069785836665964
1A_predicted_prob,500,0.5,0.5,10,0.0038634852833797795,0.007155232679792706,0.0013063607809735347,0.0025604671307081278,0.9590214831665999,0.10392954392399459,0.018974851866131938,0.0371907096576186,0.12557308820051882,0.051820569758781326,0.009461098333218192,0.018543752733107655,0.1291053498976656,0.08113219574425513,0.014812644583017726,0.02903278338271474,0.03520863957950115,0.022873052160731357,0.004176028875808282,0.008185016596584231,0.034859074970090574,0.023719710803668408,0.004330606888222726,0.008487989500916542,0.00034956460941056673,0.011153906455965404,0.0020364153900782516,0.003991374164553373,0.009928375920951305,1.6732209314382156,0.3054869492795052,0.5987544205878302,0.03520863957950115,0.034859074970090574
1A_predicted_prob,500,0.5,1.0,3,0.018755479224050204,0.008935471442979667,0.0016313864237544001,0.003197517390558624,0.9119848710755153,0.19576620993230745,0.03574185639240556,0.0700540385291149,0.22299082678427376,0.06587578115261801,0.012027217110187519,0.023573345535967537,0.06010018249024864,0.07188195822758589,0.013123789999630953,0.025722628399276668,0.04074268932577905,0.02636614626548419,0.0048137776880287616,0.009435004268536372,0.04142960346352331,0.02624355727504868,0.004791396102907657,0.009391136361699007,-0.0006869141377442602,0.010564588267283952,0.0019288211015819458,0.0037804893591006136,-0.016859813358212294,0.45510374566032324,0.08309019583441762,0.16285678383545854,0.04074268932577905,0.04142960346352331
1A_predicted_prob,500,0.5,1.0,5,0.0229782649608998,0.010821172833905511,0.0019756668199307176,0.0038723069670642063,0.9650459008112082,0.09431115900218191,0.017218783069983815,0.03374881481716828,0.3156874404600997,0.08660691001164221,0.015812186083065484,0.03099188472280835,0.09381042266949878,0.08859428820348955,0.016175030038388355,0.03170305887524118,0.035804710413312096,0.017554371979617605,0.0032049751720243935,0.006281751337167811,0.033271015359668275,0.017190530406231287,0.003138547092990441,0.006151552302261264,0.0025336950536438132,0.008084647170357033,0.0014760478748916195,0.002893053834787574,0.070764293982442,0.8026428013654987,0.14654185597567398,0.287222037712321,0.035804710413312096,0.033271015359668275
1A_predicted_prob,500,0.5,1.0,10,0.0180814333268696,0.011203106758287552,0.002045398095217556,0.00400898026662641,0.9779312349299093,0.07049830992507823,0.012871171537318562,0.02522749621314438,0.3369834993260193,0.07263165801495822,0.013260665827931171,0.025990905022745096,0.13425492271360076,0.15058978030111886,0.027493806533556635,0.053887860805771,0.03637759741958148,0.024208557966258485,0.0044198577609303865,0.008662921211423558,0.03452190721248068,0.022547651641414933,0.0041166191409237815,0.008068573516210611,0.0018556902071008062,0.01637617070153541,0.0029898660329287148,0.005860137424540281,0.05101189574718601,0.6647930100362696,0.1213740425562077,0.2378931234101671,0.03637759741958148,0.03452190721248068
1A_predicted_prob,500,1.0,0.2,3,0.0014191537532939394,0.005108691481380505,0.0009327151878955286,0.0018281217682752362,0.8852182277165611,0.18967447407890428,0.03462966267864826,0.06787413885015059,0.02206394099251068,0.0195205893484842,0.003563955707319957,0.006985353186347115,0.06166627257147424,0.06697258489370027,0.012227465160236454,0.02396583171406345,0.027860059716390963,0.027049960123871754,0.004938624446486599,0.009679703915113734,0.02637135104759592,0.026969943639408734,0.00492401550198238,0.009651070383885465,0.0014887086687950168,0.007306389411645834,0.0013339580982251074,0.0026145578725212107,0.05343522892448027,159.76945826632476,29.1697787642821,57.172766377992914,0.027860059716390963,0.02637135104759592
