method,ARI_mean,ARI_sd,ARI_se,ARI_ci95,C1_heterogeneity_mean,C1_heterogeneity_sd,C1_heterogeneity_se,C1_heterogeneity_ci95,C1_excess_mean,C1_excess_sd,C1_excess_se,C1_excess_ci95,W_true_mean,W_true_sd,W_true_se,W_true_ci95,W_true_excess_mean,W_true_excess_sd,W_true_excess_se,W_true_excess_ci95,W_est_mean,W_est_sd,W_est_se,W_est_ci95,W_est_excess_mean,W_est_excess_sd,W_est_excess_se,W_est_excess_ci95,bias_crude_mean,bias_crude_sd,bias_crude_se,bias_crude_ci95,bias_stratified_mean,bias_stratified_sd,bias_stratified_se,bias_stratified_ci95,bias_re_mean,bias_re_sd,bias_re_se,bias_re_ci95,bias_reduction_mean,bias_reduction_sd,bias_reduction_se,bias_reduction_ci95,bias_reduction_relative_mean,bias_reduction_relative_sd,bias_reduction_relative_se,bias_reduction_relative_ci95,bias_reduction_re_mean,bias_reduction_re_sd,bias_reduction_re_se,bias_reduction_re_ci95,bias_reduction_relative_re_mean,bias_reduction_relative_re_sd,bias_reduction_relative_re_se,bias_reduction_relative_re_ci95,re_tau2_mean,re_tau2_sd,re_tau2_se,re_tau2_ci95,re_I2_mean,re_I2_sd,re_I2_se,re_I2_ci95,abs_bias_crude_mean,abs_bias_stratified_mean,abs_bias_crude_se,abs_bias_stratified_se,abs_bias_re_mean,abs_bias_re_se
1A_predicted_prob,0.012679196424385107,0.012610349013675012,0.000443082499698565,0.0008684416994091873,0.8900299528313447,0.18620000654564883,0.00654240134469457,0.012823106635601357,0.07767905149374177,0.1503991751133121,0.005284488350761988,0.010357597167493498,0.16191525564721293,0.12687198200967334,0.004457827049005272,0.008737341016050334,0.0,0.0,0.0,0.0,0.10484949264714659,0.11754621987528353,0.0041301531683205495,0.008095100209908277,0.04802324597247867,0.09451318714265454,0.0033208548921392195,0.0065088755885928705,0.025351760405841826,0.021607692606607526,0.000759216929085116,0.0014880651810068274,0.022734384735195654,0.020789456286594694,0.0007304670353571719,0.0014317153893000569,0.019714194908546426,0.018537759076261543,0.0006513504599605054,0.0012766469015225905,0.002617375670646158,0.008451831016416951,0.00029696707123037254,0.0005820554596115302,0.10324236379431262,7.588887513233473,0.01121284634783714,0.5226268013256977,0.005637565497295381,0.012866175742616882,0.0004520713346964186,0.0008860598160049804,0.22237372896583274,6.232771387677378,0.015458765339291143,0.4292346365730014,0.0009629911578436116,0.0025782085853093594,9.058901569531231e-05,0.00017755447076281213,0.15787204972189398,0.22471864541114495,0.007895808357855146,0.015475784381396084,0.025351760405841826,0.022734384735195654,0.000759216929085116,0.0007304670353571719,0.019714194908546426,0.0006513504599605054
1B_residual,0.019446162297043847,0.011519681959376709,0.00040476036569312963,0.0007933303167585341,0.9714751791406031,0.11033182597329588,0.003876665205343766,0.007598263802473781,0.019700441160118244,0.08648971843193334,0.0030389389381284015,0.005956320318731667,0.2297575036392167,0.09387749983812775,0.0032985191170063557,0.006465097469332457,0.0,0.0,0.0,0.0,0.07647606232726756,0.08439695718094671,0.002965406803105501,0.0058121973340867815,0.03526380237225682,0.06838758341577204,0.002402894747428861,0.0047096737049605675,0.025351760405841826,0.021607692606607526,0.000759216929085116,0.0014880651810068274,0.013273413687986508,0.013376430112338392,0.00046999984574501446,0.0009211996976602283,0.008140816011353866,0.003443939224191878,0.0001210076896848844,0.00023717507178237343,0.012078346717855298,0.019658210055536206,0.0006907190944168838,0.0013538094250570923,0.47643029614117427,11.825824589700716,0.0181297863242319,0.8144135576626411,0.017210944394487938,0.022095423450888173,0.0007763540441189354,0.0015216539264731135,0.6788855731897036,8.66201507311924,0.011004183415292612,0.5965302849469202,2.8954919983738117e-05,0.00025258407212515934,8.87489965106389e-06,1.7394803316085225e-05,0.037426964231064105,0.12979471799312922,0.004560521523528082,0.00893862218611504,0.025351760405841826,0.013273413687986508,0.000759216929085116,0.00046999984574501446,0.008140816011353866,0.0001210076896848844
2A_PCA_cum60,0.006744235160652755,0.0083115457793036,0.0002920379504373173,0.000572394382857142,0.8920602834249404,0.18034950194366245,0.006336835566877083,0.012420197711079084,0.06730712120970311,0.13439119474654976,0.004722025254115026,0.00925516949806545,0.073507681061252,0.06531884607620728,0.002295070308164081,0.004498337804001599,0.00034950509931719895,0.003935613634027432,0.00013828336748821155,0.0002710354002768946,0.0837117253408137,0.09779011709748024,0.0034359944742512406,0.006734549169532432,0.03602450752659922,0.07663884794750954,0.0026928146307272295,0.00527791667622537,0.025351760405841826,0.021607692606607526,0.000759216929085116,0.0014880651810068274,0.023873732130992635,0.02102331173122136,0.0007386838781155236,0.0014478204011064263,0.021513343027060008,0.019062940345642824,0.0006698034488016531,0.0013128147596512402,0.0014780282748491796,0.006327396124183275,0.00022232203789489732,0.00043575119427399875,0.058300814270420775,6.1237000154545775,0.008525187356243883,0.42172317691813055,0.0038384173787818034,0.00929480965058565,0.0003265863212618274,0.0006401091896731817,0.15140634485869187,6.2912597170113145,0.011457914749959497,0.43326257458385947,0.0008922794218197457,0.002406249973712363,8.454700596279284e-05,0.00016571213168707397,0.13997166725126406,0.20719015345729502,0.007279919929831804,0.014268643062470335,0.025351760405841826,0.023873732130992635,0.000759216929085116,0.0007386838781155236,0.021513343027060008,0.0006698034488016531
2B_clustering,0.009994099069829268,0.010893344963170501,0.00038275312690602014,0.0007501961287357994,0.8729053269841133,0.19209272849371012,0.006749450488849438,0.013228922958144899,0.08425282406945106,0.14915216944876428,0.0052406730379275105,0.01027171915433792,0.1014950871766039,0.087735601727926,0.0030827148149516737,0.0060421210373052805,0.0003062437582901658,0.0037369139955909687,0.00013130177384697642,0.00025735147674007375,0.15347613215052022,0.08666588423651503,0.003045128773554115,0.005968452396166065,0.04533515566513246,0.06311185810179543,0.00221752465518916,0.0043463483241707535,0.025351760405841826,0.021607692606607526,0.000759216929085116,0.0014880651810068274,0.02373771170101922,0.021176611062579453,0.0007440702675696618,0.001458377724436537,0.02128134004436743,0.01902776255276309,0.000668567427151013,0.0013103921572159855,0.0016140487048225988,0.00671377529118593,0.00023589801798564136,0.00046236011525185703,0.06366613911555741,3.1616389092555526,0.009080211065910872,0.21773378867583992,0.004070420361474387,0.011159000062760499,0.00039208729564761186,0.0007684910994693192,0.16055770077948694,7.102256209649967,0.013841091027366078,0.48911377834659725,0.0009721173206411257,0.0026141801057109042,9.185292608829116e-05,0.0001800317351330507,0.16746786209161324,0.2265035039976586,0.007958521896018388,0.01559870291619604,0.025351760405841826,0.02373771170101922,0.000759216929085116,0.0007440702675696618,0.02128134004436743,0.000668567427151013
GMM,0.003124592643395829,0.004956168701930393,0.00017414201740155772,0.0003413183541070531,0.8861086515250078,0.19001757262831245,0.0066765369440215,0.013086012410282141,0.07404380584011917,0.14484451211282762,0.0050893173872487,0.009975062079007451,0.03514174085191964,0.035664770504715344,0.0012531323002454829,0.0024561393084811464,0.004742233376248345,0.01880230303701695,0.000660645587263053,0.001294865351035584,0.09963055753538018,0.07659278972267548,0.0026911963096665657,0.005274744766946469,0.038374982569638526,0.06121787377935651,0.002150976829505185,0.004215914585830163,0.025351760405841826,0.021607692606607526,0.000759216929085116,0.0014880651810068274,0.02519201643360476,0.021841819639140767,0.000767443314469798,0.001504188896360804,0.02377623210101671,0.0202820616257254,0.0007126390042354421,0.0013967724483014666,0.0001597439722370698,0.004977845322347084,0.00017490365620702054,0.00034281116616576024,0.006301099792669795,3.99884009580454,0.006888833989470067,0.27538964105594027,0.0015755283048251066,0.008450182508746273,0.00029690914857504364,0.0005819419312070855,0.06214670222514673,11.326295217621373,0.011201418632845038,0.7800122784971756,0.0009851510035305269,0.0033560193783885293,0.00011791850119300242,0.00023112026233828472,0.13711792549621876,0.20933382369107356,0.007355240824176757,0.014416272015386443,0.025351760405841826,0.02519201643360476,0.000759216929085116,0.000767443314469798,0.02377623210101671,0.0007126390042354421
PS_propensity_score,0.003883422288822895,0.006432542590956751,0.00022601650814960177,0.00044299235597321945,0.877578742812598,0.1947742709307714,0.006843670285999575,0.013413593760559167,0.07935806524049678,0.14961953650130272,0.005257094642253522,0.010303905498816903,0.043999687343821814,0.05594763519863879,0.0019657995214211726,0.003852967061985498,0.009405366094044356,0.032396902350319,0.0011383111173452248,0.0022310897899966405,0.07934185090236143,0.0859583615297141,0.003020268959667688,0.005919727160948669,0.03820040623355434,0.07048459841952562,0.002476576344088948,0.004854089634414339,0.025351760405841826,0.021607692606607526,0.000759216929085116,0.0014880651810068274,0.023427130477985687,0.021270424279288488,0.0007473665280077453,0.0014648383948951808,0.02202437319103798,0.01988434793992549,0.0006986647697493501,0.001369382948708726,0.0019246299278561298,0.008877691966218739,0.00031193029976255346,0.0006113833875346047,0.07591701314014654,3.8454192291419536,0.011956481499759402,0.26482394790781244,0.003327387214803827,0.010818196000270642,0.00038011266149976403,0.0007450208165395375,0.13124876385456508,6.369786623963769,0.013882457245049622,0.43867051693733305,0.0011302969573375443,0.0030550653841206763,0.00010734405571731715,0.0002103943492059416,0.15261159176876363,0.21786880870345302,0.007655129629004751,0.015004054072849313,0.025351760405841826,0.023427130477985687,0.000759216929085116,0.0007473665280077453,0.02202437319103798,0.0006986647697493501
Prognostic_score,0.011058188896776974,0.01160668818882536,0.0004078174529784736,0.0007993222078378083,0.9018987514644626,0.17551920314152814,0.006167116166944556,0.012087547687211328,0.061763479071735496,0.13145930718196988,0.004619009225808399,0.009053258082584462,0.14196556130839122,0.1194598791760673,0.004197392302276571,0.00822688891246208,3.124146488217085e-05,0.0007183902164481175,2.5241659252860094e-05,4.947365213560578e-05,0.10094620632703759,0.11452155729850692,0.004023877358364016,0.007886799622393472,0.04568439660133919,0.09180506743106677,0.0032257012647501568,0.006322374478910307,0.025351760405841826,0.021607692606607526,0.000759216929085116,0.0014880651810068274,0.022753574507968038,0.020971938893423584,0.0007368788205898862,0.001444282488356177,0.020221123439978686,0.019352545690538143,0.0006799791433841846,0.0013327591210330017,0.0025981858978737804,0.00821669071273756,0.00028870508312669985,0.0005658619629283317,0.10248542335052546,5.726644374633185,0.010976594742605768,0.3943789951590847,0.005130636965863125,0.012024751055188097,0.00042250668478786076,0.0008281131021842071,0.20237793682685967,7.389996704341767,0.014911774994390505,0.5089297123804613,0.0008666487834033853,0.0024671208925344545,8.668579203773753e-05,0.00016990415239396558,0.15004383650518485,0.21550505149913096,0.007572075666768199,0.01484126830686567,0.025351760405841826,0.022753574507968038,0.000759216929085116,0.0007368788205898862,0.020221123439978686,0.0006799791433841846
baseline_oracle_kmeans,0.3768535979563561,0.02736622619488014,0.0009615511748798242,0.0018846403027644554,0.8957273114325603,0.1830221066183435,0.006430741323068255,0.012604252993213778,0.07103987650084734,0.14391482932750982,0.005056651663881437,0.009911037261207617,0.3500919285320052,0.10104264634012183,0.0035502767027295727,0.006958542337349962,0.023466503896678634,0.043108924245323664,0.0015146932010542003,0.0029687986740662324,0.022636474343176245,0.02497321867227946,0.0008774694612205463,0.0017198401439922708,0.0066340328986148195,0.01755975067923565,0.0006169867476785935,0.0012092940254500434,0.025351760405841826,0.021607692606607526,0.000759216929085116,0.0014880651810068274,0.021612589248845196,0.019997848769331573,0.0007026527823853661,0.0013771994534753176,0.01647778265739975,0.0173467412975324,0.0006095023609100773,0.0011946246273837513,0.0037391711569966157,0.010556443346530123,0.00037091561072850367,0.0007269945970278672,0.14749157838108196,33.87858274489093,0.01352853069163122,2.3331292369975074,0.008873977748442058,0.015818841372068182,0.0005558174297848725,0.00108940216237835,0.35003398605791647,23.86802127968313,0.01762674648038223,1.64372809501027,0.0007174134114561947,0.0023722483407475595,8.335231035908347e-05,0.0001633705283038036,0.16309759019906883,0.2303037834134124,0.008092050103783234,0.015860418203415137,0.025351760405841826,0.021612589248845196,0.000759216929085116,0.0007026527823853661,0.01647778265739975,0.0006095023609100773
baseline_oracle_quantile,0.0944110349825686,0.00895871336880804,0.00031477710166703853,0.0006169631192673955,0.8917600725559697,0.18809863395857418,0.00660911231194876,0.012953860131419569,0.0722154608586957,0.14462261026442416,0.005081520551049185,0.009959780280056403,0.4174679115802228,0.05698496698908931,0.0020022476452781074,0.0039244053847450906,0.0002091573975760237,0.002542074879931617,8.931940670314408e-05,0.0001750660371381624,0.02746440705227198,0.03639927012579093,0.0012789399862802547,0.0025067223731092994,0.009871016230380279,0.027704940647836494,0.0009734523876327134,0.0019079666797601183,0.025351760405841826,0.021607692606607526,0.000759216929085116,0.0014880651810068274,0.02101159497944834,0.019208498376049054,0.000674917836666228,0.0013228389598658069,0.014203137208071757,0.01534954869318955,0.0005393281658460006,0.001057083205058161,0.004340165426393475,0.011530451989265954,0.0004051387859699975,0.0007940720205011951,0.1711977928520253,13.922649035355708,0.014343781188631657,0.9588163638793953,0.01114862319777005,0.017316327599770923,0.0006084337324990302,0.0011925301156980991,0.4397573588302406,11.216011291443214,0.017342380075095677,0.7724173134281028,0.0007312095889244254,0.0023753201242259826,8.346024182875783e-05,0.00016358207398436535,0.1765094424755813,0.24166305613360786,0.008491174263325836,0.016642701556118637,0.025351760405841826,0.02101159497944834,0.000759216929085116,0.000674917836666228,0.014203137208071757,0.0005393281658460006
baseline_random,-9.083530508601989e-05,0.0029781089162873495,0.00010464008106137497,0.00020509455888029492,0.900094714071739,0.17300485605250338,0.006078771015505307,0.011914391190390401,0.06805366148179866,0.13570362469333952,0.004768139341906907,0.009345553110137537,0.006707316705956201,0.009024854971876172,0.0003171010807091505,0.000621518118189935,0.00420494107300023,0.008139361999592285,0.0002859880291037124,0.0005605365370432762,0.0062888962534698705,0.008287079879700166,0.00029117830635118553,0.0005707094804483237,0.0036217746099849474,0.007352820715800876,0.00025835178543111536,0.0005063694994449861,0.025351760405841826,0.021607692606607526,0.000759216929085116,0.0014880651810068274,0.025309192295071607,0.02168580131796469,0.0007619613894516638,0.001493444323325261,0.024962904964635834,0.021128920996684303,0.0007423946094586376,0.0014550934345389295,4.256811077022288e-05,0.0031838698869871393,0.00011186978462780282,0.00021926477787049352,0.0016790988116316408,2.0337553398034256,0.004410519944043831,0.1400594021280523,0.0003888554412059981,0.005139310371427037,0.00018057695973594862,0.0003539308410824593,0.015338399976215777,1.6999772216917939,0.007040244579652517,0.11707297758071215,0.0007943197273130863,0.002217743025304697,7.792354694350311e-05,0.00015273015200926608,0.11323671625795659,0.18677779153159874,0.006562702639732904,0.012862897173876491,0.025351760405841826,0.025309192295071607,0.000759216929085116,0.0007619613894516638,0.024962904964635834,0.0007423946094586376
