method,ARI_mean,ARI_sd,ARI_se,ARI_ci95,C1_heterogeneity_mean,C1_heterogeneity_sd,C1_heterogeneity_se,C1_heterogeneity_ci95,W_true_mean,W_true_sd,W_true_se,W_true_ci95,W_est_mean,W_est_sd,W_est_se,W_est_ci95,W_est_main_mean,W_est_main_sd,W_est_main_se,W_est_main_ci95,W_est_polynomial_mean,W_est_polynomial_sd,W_est_polynomial_se,W_est_polynomial_ci95,bias_crude_mean,bias_crude_sd,bias_crude_se,bias_crude_ci95,bias_stratified_mean,bias_stratified_sd,bias_stratified_se,bias_stratified_ci95,bias_re_mean,bias_re_sd,bias_re_se,bias_re_ci95,bias_reduction_mean,bias_reduction_sd,bias_reduction_se,bias_reduction_ci95,bias_reduction_relative_mean,bias_reduction_relative_sd,bias_reduction_relative_se,bias_reduction_relative_ci95,bias_reduction_re_mean,bias_reduction_re_sd,bias_reduction_re_se,bias_reduction_re_ci95,bias_reduction_relative_re_mean,bias_reduction_relative_re_sd,bias_reduction_relative_re_se,bias_reduction_relative_re_ci95,re_tau2_mean,re_tau2_sd,re_tau2_se,re_tau2_ci95,re_I2_mean,re_I2_sd,re_I2_se,re_I2_ci95,abs_bias_crude_mean,abs_bias_stratified_mean,abs_bias_crude_se,abs_bias_stratified_se,abs_bias_re_mean,abs_bias_re_se
1A_predicted_prob,0.028371532345641243,0.004691914280826967,0.0006635368809437503,0.0013005322866497505,0.9189785741532276,0.18210324367512273,0.02575328769574911,0.05047644388366826,0.34827727613046155,0.027617185751002162,0.0039056598643644248,0.007655093334154273,0.1078479315047337,0.09914139271654812,0.014020710217229953,0.027480592025770707,0.8076446504570879,0.058539832371153865,0.008278782487833333,0.016226413676153333,0.06415848859546608,0.06247812799488628,0.008835741596205033,0.017318053528561864,0.021090137757587595,0.013469805280811268,0.0019049181310648031,0.003733639536887014,0.016844691142495653,0.01134000334014638,0.0016037186520991206,0.0031432885581142763,0.011349537762550311,0.00900518418421588,0.0012735253604985793,0.0024961097065772154,0.004245446615091924,0.0079517109690035,0.0011245417496435655,0.0022041018293013884,0.20130008935406596,1.1126349136591391,0.04607703974339828,0.30840666343384815,0.009740599995037265,0.01463777183117001,0.002070093544656348,0.004057383347526442,0.4618556837796335,2.746417368833771,0.06957770809351801,0.761268055424583,0.0004204077767315034,0.0009019299488927175,0.00012755215660345537,0.0002500022269427725,0.11592695595646188,0.21367467924102557,0.03021816293183792,0.05922759934640232,0.021090137757587595,0.016844691142495653,0.0019049181310648031,0.0016037186520991206,0.011349537762550311,0.0012735253604985793
1B_residual,0.031116811305198083,0.005458998566911619,0.00077201898103017,0.0015131572028191332,0.9257371695401744,0.1789466085637424,0.02530687207715139,0.049601469271216725,0.36103509700334696,0.030162231759700623,0.004265583722600912,0.008360544096297788,0.07743251285790535,0.07113775977034707,0.010060398466406398,0.01971838099415654,0.6909199412925373,0.04738961734705741,0.006701903956787989,0.013135731755304457,0.04568201591489094,0.04465094344569828,0.006314596979366057,0.012376610079557471,0.021090137757587595,0.013469805280811268,0.0019049181310648031,0.003733639536887014,0.011267160411666746,0.008288752861479471,0.0011722066711863067,0.002297525075525161,0.00807697039107144,0.0021621853920156275,0.00030577919057534874,0.0005993272135276836,0.009822977345920834,0.014642395440767888,0.002070747421796392,0.004058664946720928,0.4657616492991772,2.083306740039426,0.0675213631831728,0.577463166684019,0.013013167366516129,0.013927617918694206,0.001969662615216788,0.0038605387258249047,0.6170261909187582,1.4948804618989793,0.039271506419129056,0.4143597237754422,1.4990404159937123e-05,4.4877676860029055e-05,6.34666192632503e-06,1.243945737559706e-05,0.04420497194356945,0.11807754642608422,0.016698686756750708,0.03272942604323139,0.021090137757587595,0.011267160411666746,0.0019049181310648031,0.0011722066711863067,0.00807697039107144,0.00030577919057534874
1C_cv_decision,0.028371532345641243,0.004691914280826967,0.0006635368809437503,0.0013005322866497505,0.9189785741532276,0.18210324367512273,0.02575328769574911,0.05047644388366826,0.34827727613046155,0.027617185751002162,0.0039056598643644248,0.007655093334154273,0.1078479315047337,0.09914139271654812,0.014020710217229953,0.027480592025770707,0.8076446504570879,0.058539832371153865,0.008278782487833333,0.016226413676153333,0.06415848859546608,0.06247812799488628,0.008835741596205033,0.017318053528561864,0.021090137757587595,0.013469805280811268,0.0019049181310648031,0.003733639536887014,0.016844691142495653,0.01134000334014638,0.0016037186520991206,0.0031432885581142763,0.011349537762550311,0.00900518418421588,0.0012735253604985793,0.0024961097065772154,0.004245446615091924,0.0079517109690035,0.0011245417496435655,0.0022041018293013884,0.20130008935406596,1.1126349136591391,0.04607703974339828,0.30840666343384815,0.009740599995037265,0.01463777183117001,0.002070093544656348,0.004057383347526442,0.4618556837796335,2.746417368833771,0.06957770809351801,0.761268055424583,0.0004204077767315034,0.0009019299488927175,0.00012755215660345537,0.0002500022269427725,0.11592695595646188,0.21367467924102557,0.03021816293183792,0.05922759934640232,0.021090137757587595,0.016844691142495653,0.0019049181310648031,0.0016037186520991206,0.011349537762550311,0.0012735253604985793
2A_PCA_cum60,0.01684231995871769,0.004175517112354608,0.0005905072930212829,0.0011573942943217145,0.9321062766353597,0.15403097316253286,0.02178326912719802,0.04269520748930812,0.16127900912516785,0.031738912471733334,0.004488560047249786,0.00879757769260958,0.0566926372645004,0.05869044955923399,0.008300082974844275,0.01626816263069478,0.4198877531951137,0.0827919396112266,0.011708548385337093,0.022948754835260703,0.033720241820644384,0.03548721867748997,0.005018650594460612,0.009836555165142799,0.021090137757587595,0.013469805280811268,0.0019049181310648031,0.003733639536887014,0.019331967117823402,0.012818814882327277,0.0018128541860137305,0.0035531942045869116,0.01573076281925237,0.010359036183654396,0.0014649889464037674,0.002871378334951384,0.0017581706397641957,0.006324232484910842,0.0008943815351761413,0.0017529878089452369,0.0833645877505782,1.1043470602015886,0.04050957825618037,0.3061093876603729,0.005359374938335212,0.010003125458514398,0.0014146555689550646,0.0027727249151519267,0.2541175880374268,2.053019190325764,0.05509777693568107,0.5690678862231014,0.00036855854479571576,0.0008486626000662225,0.00012001901588924657,0.00023523727114292328,0.09472686945932729,0.18447884518822896,0.026089248483611997,0.051134927027879515,0.021090137757587595,0.019331967117823402,0.0019049181310648031,0.0018128541860137305,0.01573076281925237,0.0014649889464037674
2B_clustering,0.021908837885373757,0.004000826853260894,0.0005658023596588029,0.0011089726249312536,0.8963631286928675,0.1738053338716563,0.02457978603740802,0.04817638063331972,0.20850339637375234,0.03562142116771629,0.005037629692638843,0.009873754197572132,0.12021566008388673,0.06363996094486671,0.009000049587712458,0.017640097191916417,0.5166923098892946,0.05324581441730487,0.007530095288855342,0.01475898676615647,0.06987737744727361,0.04584808582642986,0.006483898478458277,0.012708441017778224,0.021090137757587595,0.013469805280811268,0.0019049181310648031,0.003733639536887014,0.01912369184997884,0.012615791292723161,0.0017841423146237494,0.0034969189366625486,0.015914433585453157,0.010854886792994956,0.0015351128120678057,0.0030088211116528992,0.0019664459076087475,0.005824179050036198,0.000823663300225044,0.0016143800684410862,0.0932400693732448,0.7281489642964936,0.03688577939879044,0.20183259558426064,0.005175704172134422,0.01103705647977196,0.0015608754962371356,0.003059315972624786,0.24540874183111372,1.9233575542430026,0.06263124941846976,0.5331275143466272,0.0006021087062554789,0.0009825236294613666,0.0001389498242136302,0.0002723416554587152,0.15818635618833052,0.22210297687841968,0.031410104214489906,0.061563804260400215,0.021090137757587595,0.01912369184997884,0.0019049181310648031,0.0017841423146237494,0.015914433585453157,0.0015351128120678057
GMM,0.005504200779915553,0.0033152887308432757,0.0004688526286341246,0.0009189511521228842,0.878746872135151,0.19100218191728757,0.02701178761102812,0.05294310371761511,0.05891156175848588,0.03354245050118367,0.004743618841400217,0.009297492929144424,0.07583535588620795,0.04817962557230137,0.006813627991440619,0.013354710863223613,0.130533859215432,0.07272416808257876,0.010284750481468343,0.02015811094367795,0.0575257968947073,0.03956427572816251,0.005595233532023608,0.010966657722766272,0.021090137757587595,0.013469805280811268,0.0019049181310648031,0.003733639536887014,0.019565912341557523,0.013843056543545614,0.0019577038308579825,0.0038370995084816457,0.017081423776885315,0.011883299227364653,0.0016805522933076814,0.0032938824948830557,0.0015242254160300504,0.0034854179144948715,0.0004929125285216795,0.0009661085559024918,0.07227195163681199,0.5118008061029439,0.024135043818748914,0.1418639456799561,0.004008713980702266,0.006534616398008976,0.0009241343134969916,0.0018113032544541034,0.19007528669460994,1.7949954735362583,0.038808046205190586,0.49754736084236534,0.0008671745829454401,0.001483121974582734,0.0002097451211108467,0.00041110043737725954,0.17207251959703804,0.2281357998717307,0.03226327422414357,0.06323601747932141,0.021090137757587595,0.019565912341557523,0.0019049181310648031,0.0019577038308579825,0.017081423776885315,0.0016805522933076814
PS_propensity_score,0.007272885314647251,0.005297132346501249,0.0007491276406107283,0.0014682901755970275,0.8880576423457289,0.17193883887558417,0.024315823783653347,0.04765901461596056,0.07201654434828737,0.0535278640762711,0.007569983134152618,0.01483716694293913,0.0830709815965212,0.0938899499120258,0.013278044053611746,0.02602496634507902,0.17018102507963281,0.13510937671667528,0.019107351295649784,0.037450408539473574,0.04317721042420415,0.05042820020796022,0.007131624466016307,0.01397798395339196,0.021090137757587595,0.013469805280811268,0.0019049181310648031,0.003733639536887014,0.01681009462549874,0.012631753724432319,0.001786399743364904,0.003501343496995212,0.015989226932150827,0.012332980301136694,0.001744146800634773,0.003418527729244155,0.004280043132088842,0.008565484932970036,0.0012113424960508625,0.0023742312922596905,0.20294050144594356,0.801789252523813,0.052591269536790566,0.22224464207649586,0.005100910825436736,0.010392234666824271,0.0014696839209186728,0.0028805804850005985,0.24186237586815262,0.808042340626318,0.06196636666669564,0.22397790966874603,0.000546882367866508,0.0009066978056881032,0.00012822643337780408,0.000251323809420496,0.13582763053311062,0.19055531641578075,0.02694859128574936,0.05281923892006874,0.021090137757587595,0.01681009462549874,0.0019049181310648031,0.001786399743364904,0.015989226932150827,0.001744146800634773
Prognostic_score,0.026435562493752517,0.005216944497271348,0.0007377873662188827,0.00144606323778901,0.8850408682775764,0.1894770477628008,0.02679610107045676,0.05252035809809525,0.3203213774612655,0.03990057515754526,0.00564279345342875,0.01105987516872035,0.10005254127153455,0.09698232751723716,0.01371537228853862,0.026882129685535695,0.7524107997954305,0.08170261062477545,0.011554494002684556,0.02264680824526173,0.057104792267958476,0.05814729607049895,0.008223269471822338,0.01611760816477178,0.021090137757587595,0.013469805280811268,0.0019049181310648031,0.003733639536887014,0.016840089595621843,0.01169737758800189,0.0016542590029151355,0.0032423476457136657,0.011915164756364052,0.010045812445445659,0.0014206924205405677,0.0027845571442595128,0.004250048161965735,0.007968885770492307,0.0011269706333632192,0.00220886244139191,0.20151827412491474,1.3935534002415684,0.04697967240868746,0.38627329522850246,0.009174973001223522,0.01356907773012941,0.0019189573754843743,0.0037611564559493736,0.4350361816827235,2.660591642117826,0.0681633443359866,0.7374783777070286,0.0004601400771895175,0.0008060054437839105,0.00011398638299457514,0.0002234133106693673,0.13902674523722905,0.2206378892116007,0.03120290952964181,0.06115770267809795,0.021090137757587595,0.016840089595621843,0.0019049181310648031,0.0016542590029151355,0.011915164756364052,0.0014206924205405677
baseline_oracle_kmeans,0.37814301451167615,0.022999208596089744,0.0032525792720437987,0.006375055373205846,0.8968338512445456,0.1990843993372791,0.028154785759968128,0.05518338008953753,0.3613372952900244,0.08573722027712986,0.012125073971608658,0.02376514498435297,0.0330526709653916,0.01998558541252633,0.0028263885942360623,0.005539721644702682,0.1741587816804556,0.037994182316555644,0.005373188792334901,0.010531450032976406,0.019944233308369527,0.01303320197316367,0.0018431730991595847,0.003612619274352786,0.021090137757587595,0.013469805280811268,0.0019049181310648031,0.003733639536887014,0.019112390658078845,0.012559854753013912,0.0017762316933148453,0.0034814141188970965,0.015070092111941033,0.011199855178150597,0.0015838987089555109,0.003104441469552801,0.0019777470995087495,0.0077288822500819025,0.001093029010005051,0.0021423368596098996,0.0937759213449052,1.4012599458652943,0.04905077989212144,0.38840944069116606,0.006020045645646542,0.01268907816603946,0.0017945066436425322,0.003517233021539363,0.2854436379146329,3.360702811161533,0.07154911936313486,0.931539292951405,0.0005178806111012868,0.0012451396124195057,0.0001760893326931644,0.0003451350920786022,0.1175592277950392,0.21818175414579688,0.03085555957753382,0.060476896771966285,0.021090137757587595,0.019112390658078845,0.0019049181310648031,0.0017762316933148453,0.015070092111941033,0.0015838987089555109
baseline_oracle_quantile,0.09568724469102008,0.007433021072457855,0.0010511879210074906,0.0020603283251746816,0.8899605238799241,0.18310718150926203,0.025895265945831036,0.05075472125382883,0.4414250865955874,0.02435272909071506,0.0034439959760887047,0.006750232113133861,0.04720785045244878,0.04203076476332779,0.005944047756521135,0.011650333602781424,0.3158738573660682,0.02950062586915754,0.004172018520265716,0.008177156299720803,0.027288490206065705,0.025452377490109153,0.003599509744115204,0.0070550390984658,0.021090137757587595,0.013469805280811268,0.0019049181310648031,0.003733639536887014,0.016265031691486614,0.012585560639504084,0.0017798670546455679,0.003488539427105313,0.01066130069344863,0.008189632581554827,0.0011581889467687418,0.002270050335666734,0.0048251060661009685,0.007613235081926969,0.001076674030639576,0.002110281100053569,0.22878494780647196,1.1066262127127264,0.046903721558354684,0.3067411365051986,0.01042883706413894,0.01188062235842976,0.0016801737268724393,0.003293140504669981,0.49448880723346555,1.4973092111473045,0.051578198187403376,0.41503293872025293,0.0005170006787339402,0.0007590979157542306,0.0001073526567628782,0.00021041120725524126,0.18051576896275773,0.21224537080485054,0.030016028194312618,0.05883141526085273,0.021090137757587595,0.016265031691486614,0.0019049181310648031,0.0017798670546455679,0.01066130069344863,0.0011581889467687418
