sim_id,n,n_strata,z_effect_scale,zx_influence_scale,x_effect_scale,noise_level,n_z_vars,treatment_effect,em_strength,nonlinear,actual_event_rate,treatment_prevalence,method,error,ARI,NMI,V_measure,eta2_Z1_age,eta2_Z2_sex,eta2_Z3_bmi,eta2_mean,C1,W,direction_consistency_rate,simpson_detected,crude_ate,stratified_ate,true_ate,bias_crude,bias_stratified,bias_reduction,cate_eta2,cate_range,max_SMD_Z1_age,max_SMD_Z2_sex,max_SMD_Z3_bmi,mean_max_SMD
0,2000,3,1.0,0.3,1.0,1.0,3,0.5,0.4,False,0.229,0.4875,1A_predicted_prob,,0.0033784779961587713,0.014220094586279961,0.014220094586279963,0.03883363535202055,3.647017712174424e-05,0.013355352608166721,0.01740848604576967,1.0,0.07459517379493619,1.0,False,0.16555347091932457,0.152271081028499,0.07111367370606375,0.09443979721326082,0.08115740732243526,0.013282389890825558,0.07459517379493635,0.0415827304042162,0.4873094369134706,0.01348374084955583,0.2804148839776761,0.26040268724690085
0,2000,3,1.0,0.3,1.0,1.0,3,0.5,0.4,False,0.229,0.4875,1B_residual,,0.018741960351688437,0.05151437752271085,0.05151437752271085,0.13479602493797346,0.008000070449420296,0.057904632654845856,0.06690024268074654,1.0,0.21596714931838457,0.3333333333333333,True,0.16555347091932457,0.0447472939376554,0.07111367370606375,0.09443979721326082,0.026366379768408353,0.06807341744485246,0.21596714931838468,0.06837836064756178,0.9032256914629789,0.19130112225743903,0.5733310864980787,0.5559526334061656
0,2000,3,1.0,0.3,1.0,1.0,3,0.5,0.4,False,0.229,0.4875,1C_cv_decision,,0.0032572236062675952,0.015534934781972388,0.015534934781972386,0.03298612475166227,0.000591427300145995,0.013247164757667336,0.015608238936491868,1.0,0.07000206220888205,1.0,False,0.16555347091932457,0.15645699719620432,0.07111367370606375,0.09443979721326082,0.08534332349014057,0.009096473723120252,0.07000206220888204,0.04029351879158768,0.44097715716148855,0.05848538408107445,0.2860518114139331,0.26183811755216535
0,2000,3,1.0,0.3,1.0,1.0,3,0.5,0.4,False,0.229,0.4875,1D_ml_uncertainty,,0.0053185482344175845,0.019390764143913636,0.019390764143913636,0.04477142198786571,0.002720308000316309,0.024541582022319246,0.024011104003500424,1.0,0.07228159137289925,1.0,False,0.16555347091932457,0.1275262203821783,0.07111367370606375,0.09443979721326082,0.05641254667611456,0.03802725053714626,0.07228159137289908,0.040692789863146506,0.5216628453293787,0.12309297113509296,0.3840834330797957,0.34294641651475577
0,2000,3,1.0,0.3,1.0,1.0,3,0.5,0.4,False,0.229,0.4875,2B_clustering,,0.0005887496698394809,0.00868044906614545,0.008680449066145452,0.013803997950295844,0.001494009686556206,0.00012440370937022758,0.005140803782074092,1.0,0.012578562201969401,1.0,False,0.16555347091932457,0.16355391105614386,0.07111367370606375,0.09443979721326082,0.09244023735008011,0.0019995598631807054,0.01257856220196935,0.017262266593706464,0.290303710403652,0.09422161737276258,0.02435174457041374,0.13629235744894277
0,2000,3,1.0,0.3,1.0,1.0,3,0.5,0.4,False,0.229,0.4875,comp_PS_quintile,,0.0021218415918320397,0.012517596699498158,0.012517596699498158,0.02496983477711705,0.0009817824268807704,0.0078622492552314,0.011271288819743075,1.0,0.04350964786662681,1.0,False,0.16555347091932457,0.15493723011490743,0.07111367370606375,0.09443979721326082,0.08382355640884367,0.010616240804417143,0.04350964786662671,0.03177910200991471,0.38990616151641483,0.07051472679490382,0.21789625500598128,0.2261057144391
0,2000,3,1.0,0.3,1.0,1.0,3,0.5,0.4,False,0.229,0.4875,comp_GMM,,0.0008215197602641462,0.007544449169862705,0.007544449169862705,0.008497263725291394,0.0007090341172422554,0.0010878950851214496,0.0034313976425517,1.0,0.008572562564678532,1.0,False,0.16555347091932457,0.1650987975267561,0.07111367370606375,0.09443979721326082,0.09398512382069235,0.0004546733925684665,0.008572562564678485,0.01380569538366297,0.2365470985428474,0.06385115128244355,0.08008032725370816,0.12682619235966638
0,2000,3,1.0,0.3,1.0,1.0,3,0.5,0.4,False,0.229,0.4875,comp_kmeans_X,,0.0005887496698394809,0.00868044906614545,0.008680449066145452,0.013803997950295844,0.001494009686556206,0.00012440370937022758,0.005140803782074092,1.0,0.012578562201969401,1.0,False,0.16555347091932457,0.16355391105614386,0.07111367370606375,0.09443979721326082,0.09244023735008011,0.0019995598631807054,0.01257856220196935,0.017262266593706464,0.290303710403652,0.09422161737276258,0.02435174457041374,0.13629235744894277
0,2000,3,1.0,0.3,1.0,1.0,3,0.5,0.4,False,0.229,0.4875,comp_prognostic,,0.0029706223210702707,0.01478086382752507,0.014780863827525071,0.035275441867813895,2.4547912120663518e-05,0.008465463531664705,0.014588484437199754,1.0,0.06731192462707702,1.0,False,0.16555347091932457,0.1563089677561089,0.07111367370606375,0.09443979721326082,0.08519529405004514,0.009244503163215678,0.067311924627077,0.03948500405477816,0.46466948304603106,0.010505256987011448,0.22741616791215252,0.23419696931506503
0,2000,3,1.0,0.3,1.0,1.0,3,0.5,0.4,False,0.229,0.4875,2A_PCA_cum40,,0.00031404886981814545,0.005529380436611702,0.005529380436611702,0.00020284082728262882,0.0006519390983387891,0.0019428396007715593,0.0009325398421309925,1.0,0.0022964281538904174,1.0,False,0.16555347091932457,0.1660808060687485,0.07111367370606375,0.09443979721326082,0.09496713236268475,-0.0005273351494239353,0.0022964281538904725,0.00664751439225815,0.03291815518930045,0.06151284241390318,0.10864403266548377,0.06769167675622913
