sim_id,n,n_strata,z_effect_scale,zx_influence_scale,x_effect_scale,noise_level,n_z_vars,nonlinear,n_studies,study_effect_scale,actual_event_rate,actual_treatment_prevalence,true_ate_riskdiff,method,error,ARI,NMI,V_measure,eta2_Z1_age,eta2_Z2_sex,eta2_Z3_bmi,eta2_mean,weighted_entropy_Z2,entropy_reduction_Z2,C1_heterogeneity,W_true,W_est,crude_effect,stratified_effect,re_effect,re_tau2,re_I2,true_ate,bias_crude,bias_stratified,bias_re,bias_reduction,bias_reduction_relative,bias_reduction_re,bias_reduction_relative_re
0,500,3,0.5,0.2,1.0,1.0,3,False,1,0.0,0.128,0.51,0.00916559871019584,1A_predicted_prob,,-0.0009273691606952416,0.03825513650935245,0.038255136509352444,0.02567130399724013,0.0017178856218393018,0.007348010621598525,0.011579066746892653,0.9941389123947366,0.005861087605263382,0.4090585305647234,0.07036455972805278,0.18723117786028698,0.014080901177675367,0.025756084669726183,0.019292316904010055,0.009602736523980531,0.6628552525952776,0.00916559871019584,0.004915302467479527,0.016590485959530343,0.010126718193814215,-0.011675183492050815,-2.3752726448261945,-0.005211415726334687,-1.0602431408472408
0,500,3,0.5,0.2,1.0,1.0,3,False,1,0.0,0.128,0.51,0.00916559871019584,1B_residual,,0.003548510475542901,0.05764871324760988,0.05764871324760989,0.06456564849280513,0.003945032092248813,0.023859689826434726,0.030790123470496224,0.9925251814384034,0.007474818561596597,1.0,0.12594618624833465,0.1295024201851035,0.014080901177675367,0.04400330851943755,0.0015338612810178475,0.0,0.0,0.00916559871019584,0.004915302467479527,0.03483770980924171,0.007631737429177993,-0.029922407341762183,-6.087602449642498,-0.002716434961698466,-0.5526485866680351
0,500,3,0.5,0.2,1.0,1.0,3,False,1,0.0,0.128,0.51,0.00916559871019584,1C_cv_decision,,-0.0009273691606952416,0.03825513650935245,0.038255136509352444,0.02567130399724013,0.0017178856218393018,0.007348010621598525,0.011579066746892653,0.9941389123947366,0.005861087605263382,0.4090585305647234,0.07036455972805278,0.18723117786028698,0.014080901177675367,0.025756084669726183,0.019292316904010055,0.009602736523980531,0.6628552525952776,0.00916559871019584,0.004915302467479527,0.016590485959530343,0.010126718193814215,-0.011675183492050815,-2.3752726448261945,-0.005211415726334687,-1.0602431408472408
0,500,3,0.5,0.2,1.0,1.0,3,False,1,0.0,0.128,0.51,0.00916559871019584,PS_propensity_score,,0.0005113617061601206,0.04528541236259642,0.045285412362596415,0.036805244696279694,0.011504637431499584,0.012395586426175604,0.020235156184651628,0.9870891047347542,0.012910895265245803,0.6720126783178485,0.029316719997692586,0.014789078789905208,0.014080901177675367,0.0189218425989928,0.03268562044277473,0.0014899345892646985,0.2364914921372984,0.00916559871019584,0.004915302467479527,0.009756243888796961,0.023520021732578892,-0.004840941421317434,-0.9848715218129345,-0.018604719265099365,-3.7850609170425082
0,500,3,0.5,0.2,1.0,1.0,3,False,1,0.0,0.128,0.51,0.00916559871019584,GMM,,0.00790219718109276,0.046196634472428645,0.046196634472428645,0.0003646232035533621,0.0008886002065882719,0.016562204435409882,0.005938475948517172,0.9947391765338187,0.005260823466181286,1.0,0.015270362787423553,0.004882572780832484,0.014080901177675367,0.012846804658674757,0.01358906940522501,0.0,0.0,0.00916559871019584,0.004915302467479527,0.003681205948478917,0.00442347069502917,0.0012340965190006103,0.25107234542850654,0.000491831772450357,0.1000613442823507
0,500,3,0.5,0.2,1.0,1.0,3,False,1,0.0,0.128,0.51,0.00916559871019584,Prognostic_score,,0.001757939963274932,0.0424239974149899,0.042423997414989895,0.01177562545427768,0.00578497511426396,0.0024492392768046983,0.006669946615115447,0.991209279575128,0.008790720424871945,1.0,0.02528823814489989,0.02077714755412341,0.014080901177675367,0.011877650193929258,0.013328717289780403,0.0,0.0,0.00916559871019584,0.004915302467479527,0.002712051483733418,0.004163118579584563,0.0022032509837461092,0.4482432156155578,0.0007521838878949642,0.15302901354932685
0,500,3,0.5,0.2,1.0,1.0,3,False,1,0.0,0.128,0.51,0.00916559871019584,2A_PCA_cum60,,-0.000938866500900283,0.05169711777979591,0.05169711777979591,0.006341876344405317,0.00491240888689223,0.0059607651422212945,0.00573835012450628,0.9918357546029425,0.008164245397057512,0.6806059665080155,0.02814483644405741,0.07000890121620118,0.014080901177675367,0.017728571428571427,0.018124929760282033,0.0029225654566193706,0.3641411109445369,0.00916559871019584,0.004915302467479527,0.008562972718375587,0.008959331050086193,-0.0036476702508960596,-0.7421049416652714,-0.004044028582606666,-0.8227425696307895
0,500,3,0.5,0.2,1.0,1.0,3,False,1,0.0,0.128,0.51,0.00916559871019584,2B_clustering,,0.0011927617335893142,0.04682140814826992,0.04682140814826991,0.005787516880574468,0.001451644555365136,0.0019332289796008134,0.003057463471846806,0.994329701235349,0.005670298764650972,0.9461958883818996,0.005155406415338071,0.026922725650477153,0.014080901177675367,0.01386824939215764,0.010069021252776651,0.0009249428013705222,0.15815744081785651,0.00916559871019584,0.004915302467479527,0.0047026506819618005,0.0009034225425808111,0.00021265178551772672,0.043263214608799117,0.004011879924898716,0.8162020448267411
0,500,3,0.5,0.2,1.0,1.0,3,False,1,0.0,0.128,0.51,0.00916559871019584,baseline_oracle_kmeans,,0.3159417247459904,0.5900501968658266,0.5900501968658266,0.019266750891783948,0.7303338380560964,0.6868982507543187,0.4788329465673997,0.26795693287732103,0.732043067122679,1.0,0.27429838513444604,0.0017978365937838525,0.014080901177675367,0.020561149005056567,0.015762881442517546,0.0,0.0,0.00916559871019584,0.004915302467479527,0.011395550294860727,0.006597282732321706,-0.0064802478273812,-1.3183823112118973,-0.001681980264842179,-0.34219262720258725
0,500,3,0.5,0.2,1.0,1.0,3,False,1,0.0,0.128,0.51,0.00916559871019584,baseline_random,,-0.0010287465996097489,0.0366930239139548,0.0366930239139548,0.004301801802911743,0.0015783373202791684,0.00038467711011933486,0.002088272077770082,0.994240930803862,0.005759069196138,0.3037413511700908,0.0025710924621695774,9.928198429498547e-05,0.014080901177675367,0.012034176349965842,0.007463751853337592,0.014760289052519531,0.7510162383949175,0.00916559871019584,0.004915302467479527,0.0028685776397700015,0.0017018468568582483,0.0020467248277095257,0.41639855151356475,0.003213455610621279,0.6537655885638869
0,500,5,0.5,0.2,1.0,1.0,3,False,1,0.0,0.154,0.538,0.009294395541440568,1A_predicted_prob,,0.00012999949482372095,0.0752034455531656,0.07520344555316559,0.01535242900055506,0.003926523600244553,0.036369214101912704,0.018549388900904105,0.9881046763167045,0.011895323683295489,1.0,0.05991781477107094,0.20656429517463193,0.008866995073891631,0.008895746465555373,0.004841686562744883,0.0,0.0,0.009294395541440568,0.0004274004675489367,0.0003986490758851949,0.004452708978695685,2.875139166374184e-05,0.06727037953099535,-0.004025308511146748,-9.418119110236717
0,500,5,0.5,0.2,1.0,1.0,3,False,1,0.0,0.154,0.538,0.009294395541440568,1B_residual,,-0.0004997501249375312,0.0794894282531144,0.0794894282531144,0.021345498899241217,0.006781079777854778,0.05508556748522927,0.02773738205410842,0.9860617076959295,0.01393829230407051,1.0,0.05367268737131292,0.1433560393461203,0.008866995073891631,-0.005475776397515533,-0.005789824200094192,0.0,0.0,0.009294395541440568,0.0004274004675489367,0.014770171938956102,0.01508421974153476,-0.014342771471407166,-33.5581557822347,-0.014656819273985823,-34.29294160121067
