sim_id,n,n_strata,z_effect_scale,zx_influence_scale,x_effect_scale,noise_level,n_z_vars,nonlinear,n_studies,study_effect_scale,actual_event_rate,actual_treatment_prevalence,true_ate_riskdiff,method,error,ARI,NMI,V_measure,eta2_Z1_age,eta2_Z2_sex,eta2_Z3_bmi,eta2_mean,weighted_entropy_Z2,entropy_reduction_Z2,C1_heterogeneity,W_true,W_est,crude_effect,stratified_effect,re_effect,re_tau2,re_I2,true_ate,bias_crude,bias_stratified,bias_re,bias_reduction,bias_reduction_relative,bias_reduction_re,bias_reduction_relative_re,study_crude_effect,study_stratified_effect,study_re_effect,study_re_tau2,study_re_I2,study_true_ate,study_bias_crude,study_bias_stratified,study_bias_re,study_bias_reduction,study_bias_reduction_relative,study_bias_reduction_re,study_bias_reduction_relative_re
0,500,3,0.5,0.2,1.0,1.0,3,False,10,0.6,0.138,0.522,0.008862964601467656,1A_predicted_prob,,0.0035771614319698754,0.048685483167417505,0.048685483167417505,0.002828549662609077,0.013502365597878489,0.0025016775675508517,0.006277530942679473,0.9898185298401907,0.010181470159809303,1.0,0.010899127483629645,0.07731608544744173,-0.016464860016657062,-0.012596229966129933,-0.008787428256186587,0.0,0.0,0.008862964601467656,0.025327824618124717,0.021459194567597588,0.017650392857654244,0.003868630050527129,0.15274229464455147,0.007677431760470473,0.30312243061634536,-0.016464860016657062,-0.0343363742552597,-0.028297610659758287,0.0,0.0,0.008862964601467656,0.025327824618124717,0.04319933885672735,0.037160575261225945,-0.017871514238602636,-0.7056079433609821,-0.011832750643101228,-0.46718385102183846
0,500,3,0.5,0.2,1.0,1.0,3,False,10,0.6,0.138,0.522,0.008862964601467656,1B_residual,,-0.0006606793175824786,0.04408993439548115,0.04408993439548116,0.049413144482288326,0.000803773318258902,0.006282548101297181,0.0188331553006148,0.9990043234609232,0.0009956765390768396,1.0,0.047004613134205675,0.012366238789770057,-0.016464860016657062,0.019519230769230757,-0.0008806891007579014,0.0,0.0,0.008862964601467656,0.025327824618124717,0.010656266167763101,0.009743653702225557,0.014671558450361616,0.579266426215798,0.01558417091589916,0.6152984376221182,-0.016464860016657062,-0.0343363742552597,-0.028297610659758287,0.0,0.0,0.008862964601467656,0.025327824618124717,0.04319933885672735,0.037160575261225945,-0.017871514238602636,-0.7056079433609821,-0.011832750643101228,-0.46718385102183846
0,500,3,0.5,0.2,1.0,1.0,3,False,10,0.6,0.138,0.522,0.008862964601467656,1C_cv_decision,,0.0035771614319698754,0.048685483167417505,0.048685483167417505,0.002828549662609077,0.013502365597878489,0.0025016775675508517,0.006277530942679473,0.9898185298401907,0.010181470159809303,1.0,0.010899127483629645,0.07731608544744173,-0.016464860016657062,-0.012596229966129933,-0.008787428256186587,0.0,0.0,0.008862964601467656,0.025327824618124717,0.021459194567597588,0.017650392857654244,0.003868630050527129,0.15274229464455147,0.007677431760470473,0.30312243061634536,-0.016464860016657062,-0.0343363742552597,-0.028297610659758287,0.0,0.0,0.008862964601467656,0.025327824618124717,0.04319933885672735,0.037160575261225945,-0.017871514238602636,-0.7056079433609821,-0.011832750643101228,-0.46718385102183846
0,500,3,0.5,0.2,1.0,1.0,3,False,10,0.6,0.138,0.522,0.008862964601467656,PS_propensity_score,,-0.0019779717754204265,0.049489442864816116,0.04948944286481611,0.0053107930949094434,0.007252540697107087,0.0008392741304443666,0.004467535974153633,0.9943482518974738,0.005651748102526222,0.9811980048696789,0.00012381319505316846,0.04301638186422896,-0.016464860016657062,-0.02995931725450898,-0.015802340905667615,0.0007467748615767258,0.11329645541194067,0.008862964601467656,0.025327824618124717,0.03882228185597664,0.02466530550713527,-0.01349445723785192,-0.5327917987948803,0.0006625191109894471,0.02615775815643262,-0.016464860016657062,-0.0343363742552597,-0.028297610659758287,0.0,0.0,0.008862964601467656,0.025327824618124717,0.04319933885672735,0.037160575261225945,-0.017871514238602636,-0.7056079433609821,-0.011832750643101228,-0.46718385102183846
0,500,3,0.5,0.2,1.0,1.0,3,False,10,0.6,0.138,0.522,0.008862964601467656,GMM,,0.004483915098184529,0.04413450226187922,0.044134502261879226,0.011956001746154807,0.0010499420099995182,0.0021826276959981588,0.0050628571507174945,0.9988272307200101,0.0011727692799898826,1.0,0.0037114266374044247,0.015030898299317808,-0.016464860016657062,-0.021869702783988504,-0.014079168719799858,0.0,0.0,0.008862964601467656,0.025327824618124717,0.03073266738545616,0.022942133321267516,-0.005404842767331441,-0.2133954592951386,0.002385691296857201,0.09419250696919257,-0.016464860016657062,-0.0343363742552597,-0.028297610659758287,0.0,0.0,0.008862964601467656,0.025327824618124717,0.04319933885672735,0.037160575261225945,-0.017871514238602636,-0.7056079433609821,-0.011832750643101228,-0.46718385102183846
0,500,3,0.5,0.2,1.0,1.0,3,False,10,0.6,0.138,0.522,0.008862964601467656,Prognostic_score,,-0.004708062969487844,0.03258508778403922,0.032585087784039214,0.006314941974533503,0.001200048438491107,0.0018689561269193751,0.003127982179981328,0.9987183665819371,0.0012816334180628663,0.5534832417528939,0.00462603108176185,0.29275217970297107,-0.016464860016657062,-0.017552959087040444,-0.013787703858460986,0.005436282584046069,0.4935063574730957,0.008862964601467656,0.025327824618124717,0.0264159236885081,0.022650668459928643,-0.0010880990703833818,-0.042960620850348574,0.0026771561581960743,0.10570020120402635,-0.016464860016657062,-0.0343363742552597,-0.028297610659758287,0.0,0.0,0.008862964601467656,0.025327824618124717,0.04319933885672735,0.037160575261225945,-0.017871514238602636,-0.7056079433609821,-0.011832750643101228,-0.46718385102183846
0,500,3,0.5,0.2,1.0,1.0,3,False,10,0.6,0.138,0.522,0.008862964601467656,2A_PCA_cum60,,-0.0031546982898297752,0.03054297167944575,0.03054297167944575,0.021887380117438193,0.005277092314428849,0.0016596031061414714,0.00960802517933617,0.9957711921807695,0.004228807819230518,1.0,0.009940691872993512,0.034323430924931286,-0.016464860016657062,-0.015839374844091827,-0.01626142717318122,0.0,0.0,0.008862964601467656,0.025327824618124717,0.024702339445559482,0.025124391774648876,0.000625485172565235,0.02469557421515134,0.00020343284347584117,0.008031990371974662,-0.016464860016657062,-0.0343363742552597,-0.028297610659758287,0.0,0.0,0.008862964601467656,0.025327824618124717,0.04319933885672735,0.037160575261225945,-0.017871514238602636,-0.7056079433609821,-0.011832750643101228,-0.46718385102183846
0,500,3,0.5,0.2,1.0,1.0,3,False,10,0.6,0.138,0.522,0.008862964601467656,2B_clustering,,0.008298534940559665,0.0581249688619122,0.05812496886191221,0.002900156950511217,0.006458469253966991,0.002213358251002435,0.003857328151826881,0.9949126777041787,0.005087322295821317,1.0,0.0036120591881255715,0.07805141190009934,-0.016464860016657062,-0.01807238095238096,-0.01808860363697598,0.0,0.0,0.008862964601467656,0.025327824618124717,0.02693534555384862,0.026951568238443635,-0.0016075209357239023,-0.06346857497479474,-0.0016237436203189182,-0.06410908338164023,-0.016464860016657062,-0.0343363742552597,-0.028297610659758287,0.0,0.0,0.008862964601467656,0.025327824618124717,0.04319933885672735,0.037160575261225945,-0.017871514238602636,-0.7056079433609821,-0.011832750643101228,-0.46718385102183846
0,500,3,0.5,0.2,1.0,1.0,3,False,10,0.6,0.138,0.522,0.008862964601467656,baseline_random,,-0.0026330441207901454,0.04030229260739966,0.04030229260739966,0.028050943780296177,0.005049143133444303,0.0036089073783882545,0.012236331430709577,0.9959354469133626,0.004064553086637446,1.0,0.004544727951234173,0.00916755940160574,-0.016464860016657062,-0.026103614339566726,-0.011469326174544166,0.0,0.0,0.008862964601467656,0.025327824618124717,0.03496657894103438,0.02033229077601182,-0.009638754322909664,-0.3805598968026698,0.004995533842112897,0.19723501395923548,-0.016464860016657062,-0.0343363742552597,-0.028297610659758287,0.0,0.0,0.008862964601467656,0.025327824618124717,0.04319933885672735,0.037160575261225945,-0.017871514238602636,-0.7056079433609821,-0.011832750643101228,-0.46718385102183846
0,500,3,0.5,0.2,1.0,1.0,3,False,10,0.6,0.138,0.522,0.008862964601467656,baseline_oracle_kmeans,,0.3086478374785226,0.5903374990221507,0.5903374990221507,0.005105515398530043,0.7316101133076182,0.697504171244385,0.4780732666501777,0.2692780393036451,0.7307219606963549,1.0,0.2021726577053019,0.009902480619720766,-0.016464860016657062,-0.01245556708205848,-0.014943023479483352,0.0,0.0,0.008862964601467656,0.025327824618124717,0.021318531683526137,0.02380598808095101,0.00400929293459858,0.15829598455642768,0.001521836537173707,0.060085560450567566,-0.016464860016657062,-0.0343363742552597,-0.028297610659758287,0.0,0.0,0.008862964601467656,0.025327824618124717,0.04319933885672735,0.037160575261225945,-0.017871514238602636,-0.7056079433609821,-0.011832750643101228,-0.46718385102183846
