sim_id,n,n_strata,z_effect_scale,zx_influence_scale,x_effect_scale,noise_level,n_z_vars,nonlinear,actual_event_rate,actual_treatment_prevalence,true_ate_riskdiff,method,error,ARI,NMI,V_measure,eta2_Z1_age,eta2_Z2_sex,eta2_Z3_bmi,eta2_mean,weighted_entropy_Z2,entropy_reduction_Z2,C1_heterogeneity,W_true,W_est,crude_effect,stratified_effect,true_ate,bias_crude,bias_stratified,bias_reduction,bias_reduction_relative
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,1A_predicted_prob,,0.002568636014164972,0.017532520227811762,0.017532520227811765,0.028234506999159317,0.0017481947613305568,0.0044839389634732585,0.011488880241321045,0.9985045455567523,0.0014954544432477235,1.0,0.045375580287076556,0.002112037009032397,-0.004368457333397441,-0.005936361295524275,0.0095648548667186,0.013933312200116042,0.015501216162242877,-0.0015679039621268355,-0.11252916317440853
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,1B_residual,,0.008418067419689009,0.03569318364783218,0.03569318364783219,0.08136197377692453,0.009382077050218396,0.029259962833256353,0.040001337886799763,0.9929861486830117,0.007013851316988284,1.0,0.12201482300377897,0.00835207765909185,-0.004368457333397441,-0.013976383265856958,0.0095648548667186,0.013933312200116042,0.02354123813257556,-0.009607925932459519,-0.689565108027903
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,1C_cv_decision,,0.002568636014164972,0.017532520227811762,0.017532520227811765,0.028234506999159317,0.0017481947613305568,0.0044839389634732585,0.011488880241321045,0.9985045455567523,0.0014954544432477235,1.0,0.045375580287076556,0.002112037009032397,-0.004368457333397441,-0.005936361295524275,0.0095648548667186,0.013933312200116042,0.015501216162242877,-0.0015679039621268355,-0.11252916317440853
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,1D_ml_uncertainty,,0.0007924622606588919,0.00997780202937306,0.00997780202937306,0.009597192813736536,0.0013968431647864178,0.010756752796527247,0.007250262925016733,0.9987581047334172,0.0012418952665828042,0.9013376837774904,0.02284126922970875,0.011243863163944656,-0.004368457333397441,-0.0050383278044572434,0.0095648548667186,0.013933312200116042,0.014603182671175843,-0.0006698704710598018,-0.04807690098655959
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,PS_propensity_score,,0.002519821053345601,0.017160666314385217,0.017160666314385217,0.021553555184063967,0.0008790696050205823,0.013665966219077856,0.012032863669387469,0.9991321772213282,0.0008678227786718118,1.0,0.04669836202171562,0.008857603453087615,-0.004368457333397441,-0.0054950459687056665,0.0095648548667186,0.013933312200116042,0.015059900835424267,-0.0011265886353082257,-0.08085576631942848
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,GMM,,0.0007776489035818831,0.011547925166093568,0.011547925166093568,0.012251439279718258,0.00022931090301206127,0.0024734811413620154,0.004984743774697445,0.999600858533753,0.0003991414662469772,1.0,0.01481367140513068,0.0867869347852227,-0.004368457333397441,-0.005387633876087304,0.0095648548667186,0.013933312200116042,0.014952488742805903,-0.001019176542689862,-0.07314675276431215
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,Prognostic_score,,0.00033976995898724657,0.011227409285270613,0.011227409285270612,0.028583415782973312,0.0018068078259776482,0.006197941340943831,0.012196054983298265,0.9984628079375919,0.0015371920624080992,0.6521220895903308,0.04635020032264603,0.01571047707027262,-0.004368457333397441,-0.0058851174198609,0.0095648548667186,0.013933312200116042,0.0154499722865795,-0.0015166600864634592,-0.1088513674767746
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,2B_clustering,,0.00031466998392466153,0.01401456303089703,0.01401456303089703,0.012431955163335253,0.0008519234751691957,0.0012867888234116352,0.004856889153972028,0.9991515356766542,0.0008484643233458433,1.0,0.010918885203786144,0.08481406041306461,-0.004368457333397441,-0.005810916877908859,0.0095648548667186,0.013933312200116042,0.01537577174462746,-0.0014424595445114187,-0.10352596165177474
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,2A_PCA_cum40,,0.0015616234546402287,0.011571389652758191,0.011571389652758193,0.0015757297185418004,0.0004812899954975578,0.011980834884934862,0.00467928486632474,0.9994190968410346,0.0005809031589654179,1.0,0.002765749419853858,0.043944393511215596,-0.004368457333397441,-0.004795360165691211,0.0095648548667186,0.013933312200116042,0.014360215032409812,-0.0004269028322937702,-0.030639005726880608
0,2000,3,1.0,0.3,1.0,1.0,3,False,0.1535,0.4845,0.0095648548667186,2A_PCA_cum60,,0.002051253151212741,0.016119623753936402,0.016119623753936402,0.008187557144565488,0.004894676953891054,0.016731956793694536,0.009938063630717026,0.9962327388272756,0.003767261172724412,0.40906102153188606,0.024236594857260374,0.06664461183198134,-0.004368457333397441,-0.006144936947897172,0.0095648548667186,0.013933312200116042,0.01570979181461577,-0.0017764796144997298,-0.12749873030799774
